strategy,emotion,f1
Baseline,admiration,0.7565392354124748
Baseline,amusement,0.8528864059590316
Baseline,anger,0.5501432664756447
Baseline,annoyance,0.4112903225806452
Baseline,approval,0.5550239234449761
Baseline,caring,0.5423728813559322
Baseline,confusion,0.5128205128205128
Baseline,curiosity,0.7065217391304348
Baseline,desire,0.5354330708661418
Baseline,disappointment,0.2751322751322751
Baseline,disapproval,0.5265306122448979
Baseline,disgust,0.5212765957446809
Baseline,embarrassment,0.26666666666666666
Baseline,excitement,0.4539877300613497
Baseline,fear,0.7096774193548387
Baseline,gratitude,0.9273255813953488
Baseline,joy,0.6348122866894198
Baseline,love,0.813141683778234
Baseline,optimism,0.573170731707317
Baseline,realization,0.2708333333333333
Baseline,remorse,0.6722689075630253
Baseline,sadness,0.6319702602230484
Baseline,surprise,0.5714285714285714
Uniform r=512,admiration,0.7056229327453142
Uniform r=512,amusement,0.8609022556390977
Uniform r=512,anger,0.49838187702265374
Uniform r=512,annoyance,0.2814814814814815
Uniform r=512,approval,0.44360902255639095
Uniform r=512,caring,0.4397905759162304
Uniform r=512,confusion,0.4793388429752066
Uniform r=512,curiosity,0.5446224256292906
Uniform r=512,desire,0.42857142857142855
Uniform r=512,disappointment,0.0641025641025641
Uniform r=512,disapproval,0.3463687150837989
Uniform r=512,disgust,0.32
Uniform r=512,embarrassment,0.0
Uniform r=512,excitement,0.3333333333333333
Uniform r=512,fear,0.6456692913385826
Uniform r=512,gratitude,0.9228571428571428
Uniform r=512,joy,0.5657370517928287
Uniform r=512,love,0.8075313807531381
Uniform r=512,optimism,0.498220640569395
Uniform r=512,realization,0.16352201257861634
Uniform r=512,remorse,0.3561643835616438
Uniform r=512,sadness,0.497737556561086
Uniform r=512,surprise,0.47533632286995514
Uniform r=384,admiration,0.6126582278481013
Uniform r=384,amusement,0.7433628318584071
Uniform r=384,anger,0.1688888888888889
Uniform r=384,annoyance,0.0486322188449848
Uniform r=384,approval,0.33624454148471616
Uniform r=384,caring,0.20915032679738563
Uniform r=384,confusion,0.26881720430107525
Uniform r=384,curiosity,0.2289156626506024
Uniform r=384,desire,0.0
Uniform r=384,disappointment,0.0
Uniform r=384,disapproval,0.0912280701754386
