layer,pair,overlap_top_32,overlap_top_64,overlap_top_128
0,Q-K,0.45243167877197266,0.34555792808532715,0.37379342317581177
0,Q-V,0.09287711977958679,0.14698073267936707,0.22438299655914307
0,K-V,0.19165360927581787,0.2226983904838562,0.2788081765174866
1,Q-K,0.6237809658050537,0.43131667375564575,0.3942182660102844
1,Q-V,0.1800457090139389,0.24109309911727905,0.3099130094051361
1,K-V,0.2133035659790039,0.2577187418937683,0.31848227977752686
2,Q-K,0.6286255717277527,0.43462103605270386,0.3985806703567505
2,Q-V,0.18045574426651,0.24515049159526825,0.29370588064193726
2,K-V,0.19341525435447693,0.2651839852333069,0.31030169129371643
3,Q-K,0.5861532688140869,0.47389915585517883,0.4488069415092468
3,Q-V,0.16134265065193176,0.2419065535068512,0.31167134642601013
3,K-V,0.16203881800174713,0.26078128814697266,0.34289658069610596
4,Q-K,0.5537270307540894,0.4578751027584076,0.4336499869823456
4,Q-V,0.1599598228931427,0.21882152557373047,0.2949666678905487
4,K-V,0.17402739822864532,0.23373915255069733,0.3132065534591675
5,Q-K,0.465762197971344,0.38592198491096497,0.3877498507499695
5,Q-V,0.13288116455078125,0.17447584867477417,0.23784497380256653
5,K-V,0.16549846529960632,0.20481382310390472,0.27028656005859375
6,Q-K,0.4173623025417328,0.3708454370498657,0.40131187438964844
6,Q-V,0.15824472904205322,0.20020543038845062,0.2544771432876587
6,K-V,0.17733782529830933,0.22677727043628693,0.2843402922153473
7,Q-K,0.48341938853263855,0.4171093702316284,0.4333834648132324
7,Q-V,0.05060051381587982,0.08861057460308075,0.15799030661582947
7,K-V,0.06885649263858795,0.11407281458377838,0.18267452716827393
8,Q-K,0.49967044591903687,0.4395231306552887,0.4305838942527771
8,Q-V,0.09798004478216171,0.1342982053756714,0.1992652267217636
8,K-V,0.11252671480178833,0.16005843877792358,0.2330414056777954
9,Q-K,0.43413788080215454,0.3887190818786621,0.3968605697154999
9,Q-V,0.13575255870819092,0.1599530577659607,0.2088673859834671
9,K-V,0.12355249375104904,0.14634233713150024,0.20690026879310608
10,Q-K,0.3820393979549408,0.3738057613372803,0.432174950838089
10,Q-V,0.08246459066867828,0.11017579585313797,0.18428117036819458
10,K-V,0.0894419401884079,0.1220216155052185,0.19974729418754578
11,Q-K,0.3368526101112366,0.3114250898361206,0.3350435793399811
11,Q-V,0.027955392375588417,0.058385469019412994,0.13035014271736145
11,K-V,0.04613889008760452,0.0790388286113739,0.16097575426101685
