layer,Query,Key,Value,Attn_Output,FFN_Inter,FFN_Output
L0,303.0,306.0,332.0,317.0,523.0,542.0
L1,316.0,304.0,330.0,323.0,526.0,528.0
L2,292.0,276.0,329.0,326.0,520.0,533.0
L3,319.0,312.0,317.0,334.0,526.0,531.0
L4,321.0,322.0,329.0,346.0,529.0,524.0
L5,319.0,317.0,335.0,349.0,531.0,522.0
L6,311.0,308.0,347.0,361.0,534.0,515.0
L7,298.0,296.0,364.0,385.0,530.0,538.0
L8,311.0,308.0,349.0,367.0,528.0,551.0
L9,329.0,327.0,368.0,387.0,518.0,559.0
L10,329.0,330.0,357.0,369.0,519.0,556.0
L11,328.0,333.0,353.0,369.0,533.0,484.0
