rank_index,Query_mean,Query_std,Key_mean,Key_std,Value_mean,Value_std,Attn_Output_mean,Attn_Output_std,FFN_Inter_mean,FFN_Inter_std,FFN_Output_mean,FFN_Output_std
1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2,0.8832465,0.07013491,0.9090283,0.057451252,0.9527368,0.035956454,0.9152673,0.0623187,0.5548956,0.10026164,0.7218705,0.10654154
3,0.81158143,0.08824023,0.8245478,0.07606412,0.91880816,0.05598263,0.8773858,0.060129117,0.48967722,0.052782707,0.61960495,0.092812754
4,0.7861743,0.08400982,0.7952035,0.07497101,0.90066195,0.054896604,0.85230285,0.057132084,0.45397815,0.04293829,0.56740415,0.100355975
5,0.7517852,0.103233665,0.74569935,0.07959565,0.8843479,0.054228164,0.82618266,0.05229868,0.44288158,0.042939637,0.5479081,0.098224364
6,0.7361016,0.10393547,0.7243078,0.080276236,0.8690168,0.052863758,0.81277376,0.050337303,0.42724994,0.03780395,0.5354698,0.094260216
7,0.72553355,0.10653312,0.69883347,0.085965835,0.8566467,0.051654857,0.8038984,0.051042646,0.41162407,0.033481497,0.5268301,0.09682736
8,0.70863605,0.11257352,0.6579594,0.06138043,0.84816337,0.051396333,0.7931416,0.051805574,0.39913642,0.031763934,0.51522,0.09106772
9,0.68931025,0.111258805,0.62739277,0.049856056,0.8389278,0.050562337,0.7836774,0.050408892,0.38946128,0.031885047,0.50712526,0.09027282
10,0.66670394,0.11128946,0.6070662,0.046168458,0.82885784,0.049547203,0.7785444,0.049768083,0.38125905,0.034441087,0.49998724,0.087800905
11,0.6508015,0.104675844,0.5907443,0.044142216,0.82289624,0.048935365,0.7700456,0.048211277,0.3736126,0.033201233,0.49456742,0.087123424
12,0.64044446,0.10418236,0.5789363,0.038599376,0.81533223,0.04785435,0.76386434,0.047228348,0.36607137,0.03273054,0.487263,0.084558286
13,0.625333,0.09918955,0.5658863,0.039276704,0.80730075,0.046554416,0.758279,0.046578877,0.3602483,0.033807714,0.48064378,0.08381195
14,0.61406803,0.09549266,0.55263656,0.03854616,0.799774,0.04587957,0.75362825,0.04598918,0.3554139,0.034028713,0.47652304,0.08342179
15,0.6059538,0.0968138,0.5383034,0.040790457,0.79267746,0.046295393,0.7480822,0.046186753,0.34936547,0.03498201,0.47327873,0.082731694
16,0.59399873,0.09222508,0.5287805,0.03878721,0.7879687,0.045748632,0.7415809,0.044628873,0.34439802,0.033888385,0.4680324,0.08200486
17,0.5840326,0.094521075,0.5214336,0.038220663,0.7794227,0.0442673,0.7367479,0.044956937,0.33964393,0.03219212,0.46415016,0.081395686
18,0.57643,0.094268106,0.5059004,0.04523809,0.7736922,0.045440514,0.7289381,0.043416835,0.33553472,0.03336713,0.46038333,0.08101999
