study,model,rank,emotion,f1
baseline,Baseline,,admiration,0.7565392354124748
baseline,Baseline,,amusement,0.8528864059590316
baseline,Baseline,,anger,0.5501432664756447
baseline,Baseline,,annoyance,0.4112903225806452
baseline,Baseline,,approval,0.5550239234449761
baseline,Baseline,,caring,0.5423728813559322
baseline,Baseline,,confusion,0.5128205128205128
baseline,Baseline,,curiosity,0.7065217391304348
baseline,Baseline,,desire,0.5354330708661418
baseline,Baseline,,disappointment,0.2751322751322751
baseline,Baseline,,disapproval,0.5265306122448979
baseline,Baseline,,disgust,0.5212765957446809
baseline,Baseline,,embarrassment,0.26666666666666666
baseline,Baseline,,excitement,0.4539877300613497
baseline,Baseline,,fear,0.7096774193548387
baseline,Baseline,,gratitude,0.9273255813953488
baseline,Baseline,,joy,0.6348122866894198
baseline,Baseline,,love,0.813141683778234
baseline,Baseline,,optimism,0.573170731707317
baseline,Baseline,,realization,0.2708333333333333
baseline,Baseline,,remorse,0.6722689075630253
baseline,Baseline,,sadness,0.6319702602230484
baseline,Baseline,,surprise,0.5714285714285714
component,Query,256.0,admiration,0.7520161290322581
component,Query,256.0,amusement,0.8513761467889909
component,Query,256.0,anger,0.5558739255014327
component,Query,256.0,annoyance,0.4048582995951417
component,Query,256.0,approval,0.5489566613162119
component,Query,256.0,caring,0.5232067510548524
component,Query,256.0,confusion,0.48872180451127817
component,Query,256.0,curiosity,0.7048300536672629
component,Query,256.0,desire,0.5396825396825397
component,Query,256.0,disappointment,0.30526315789473685
component,Query,256.0,disapproval,0.5271966527196653
component,Query,256.0,disgust,0.5108695652173914
component,Query,256.0,embarrassment,0.34782608695652173
component,Query,256.0,excitement,0.4691358024691358
component,Query,256.0,fear,0.7051282051282052
component,Query,256.0,gratitude,0.9304347826086956
component,Query,256.0,joy,0.6190476190476191
component,Query,256.0,love,0.8271604938271605
component,Query,256.0,optimism,0.5679012345679012
component,Query,256.0,realization,0.2694300518134715
component,Query,256.0,remorse,0.6779661016949152
component,Query,256.0,sadness,0.625
component,Query,256.0,surprise,0.5736434108527132
component,Query,128.0,admiration,0.7441860465116279
component,Query,128.0,amusement,0.8519195612431444
component,Query,128.0,anger,0.5465116279069767
component,Query,128.0,annoyance,0.41935483870967744
component,Query,128.0,approval,0.5530546623794212
component,Query,128.0,caring,0.5106382978723404
component,Query,128.0,confusion,0.49242424242424243
component,Query,128.0,curiosity,0.6959706959706959
component,Query,128.0,desire,0.5555555555555556
component,Query,128.0,disappointment,0.24864864864864866
component,Query,128.0,disapproval,0.5128205128205128
component,Query,128.0,disgust,0.5027932960893855
component,Query,128.0,embarrassment,0.2727272727272727
component,Query,128.0,excitement,0.4625
component,Query,128.0,fear,0.7012987012987013
component,Query,128.0,gratitude,0.9346879535558781
component,Query,128.0,joy,0.6274509803921569
component,Query,128.0,love,0.8191268191268192
component,Query,128.0,optimism,0.5569620253164557
component,Query,128.0,realization,0.27835051546391754
component,Query,128.0,remorse,0.7008547008547008
component,Query,128.0,sadness,0.6323529411764706
component,Query,128.0,surprise,0.5736434108527132
component,Query,64.0,admiration,0.734229576008273
component,Query,64.0,amusement,0.8556149732620321
component,Query,64.0,anger,0.5498489425981873
component,Query,64.0,annoyance,0.4474187380497132
component,Query,64.0,approval,0.5429017160686428
component,Query,64.0,caring,0.4954954954954955
component,Query,64.0,confusion,0.49166666666666664
component,Query,64.0,curiosity,0.7
component,Query,64.0,desire,0.5806451612903226
component,Query,64.0,disappointment,0.25668449197860965
component,Query,64.0,disapproval,0.48322147651006714
component,Query,64.0,disgust,0.4942528735632184
component,Query,64.0,embarrassment,0.19047619047619047
component,Query,64.0,excitement,0.4840764331210191
