study,model,rank,n_layers,f1_macro,f1_retention,compression_ratio,silhouette
baseline,Baseline,,72,0.577011044059513,1.0,1.0,
component,Query,256.0,12,0.5793706728673087,1.0040893997300204,1.0220205535283808,0.08476603776216507
component,Query,128.0,12,0.5736449263868397,0.9941662855376369,1.0450327532093382,0.09105564653873444
component,Query,64.0,12,0.568850987264377,0.9858580578670962,1.0569318914662076,0.09799908846616745
component,Key,256.0,12,0.5761626464447293,0.9985296683252111,1.0220205535283808,0.08475374430418015
component,Key,128.0,12,0.5675649266190387,0.9836292259260465,1.0450327532093382,0.09112222492694855
component,Key,64.0,12,0.5630955457391618,0.9758834801107967,1.0569318914662076,0.09926298260688782
component,Value,256.0,12,0.5397290981517472,0.9353878122583724,1.0220205535283808,0.08494768291711807
component,Value,128.0,12,0.3953311073330167,0.6851361189756399,1.0450327532093382,0.03951706737279892
component,Value,64.0,12,0.03184440479386388,0.055188553359092105,1.0569318914662076,0.06287991255521774
component,Attn_Output,256.0,12,0.531921940201605,0.9218574682025367,1.0220205535283808,0.0803593322634697
component,Attn_Output,128.0,12,0.32527647097545026,0.5637265947060472,1.0450327532093382,0.06926571577787399
component,Attn_Output,64.0,12,0.01442356222656051,0.024997029736354343,1.0569318914662076,0.021295780315995216
component,FFN_Inter,256.0,12,0.29731418206519544,0.5152660163546721,1.1776103431037237,0.0008714055875316262
component,FFN_Inter,128.0,12,0.04002599566070752,0.0693678155258658,1.2573680467428892,-0.043994881212711334
component,FFN_Inter,64.0,12,0.0,0.0,1.3014403031609154,-0.13477839529514313
component,FFN_Output,256.0,12,0.4324030050717148,0.7493842787298829,1.1776103431037237,0.14084817469120026
component,FFN_Output,128.0,12,0.12795888494949534,0.22176158717734637,1.2573680467428892,0.08277417719364166
component,FFN_Output,64.0,12,0.0,0.0,1.3014403031609154,0.019940480589866638
component,Attention_All,256.0,48,0.4814216146792677,0.8343369154466544,1.0943126654043454,0.08169559389352798
component,Attention_All,128.0,48,0.026674373540838067,0.046228532045370814,1.2082676036238298,0.02511156164109707
component,Attention_All,64.0,48,0.01439351288444234,0.0249449521506174,1.2746338373231125,-0.07234616577625275
component,FFN_All,256.0,24,0.11227958697885645,0.19458828064870787,1.4319372006064146,0.048140693455934525
component,FFN_All,128.0,24,0.000610170574627108,0.001057467757175502,1.693124085528769,-0.024421950802206993
component,FFN_All,64.0,24,0.0,0.0,1.8630337665482384,-0.10071498155593872
depth,Early (0-3),256.0,24,0.49254049621772883,0.8536067052590559,1.1484703136115817,0.10241100192070007
depth,Early (0-3),128.0,24,0.3604304272930589,0.6246508294837492,1.2405637587715705,0.0043780445121228695
depth,Early (0-3),64.0,24,0.21392664491906258,0.37074965396502557,1.2923804068437477,-0.10854386538267136
depth,Middle (4-7),256.0,24,0.4760703249491955,0.8250627606706494,1.1484703136115817,0.12390275299549103
depth,Middle (4-7),128.0,24,0.2672550480445094,0.46317146057423586,1.2405637587715705,0.07238467037677765
depth,Middle (4-7),64.0,24,0.14629644420398344,0.253541844146911,1.2923804068437477,-0.023898454383015633
depth,Late (8-11),256.0,24,0.19257023647213453,0.33373752279908325,1.1484703136115817,0.12652571499347687
depth,Late (8-11),128.0,24,0.0,0.0,1.2405637587715705,0.1518242210149765
depth,Late (8-11),64.0,24,0.0,0.0,1.2923804068437477,0.10410936921834946
