emotion,train_count,train_fraction
admiration,4130,0.1363081289811545
amusement,2328,0.0768342189511205
anger,1567,0.05171787847783755
annoyance,2470,0.08152084227202218
approval,2939,0.09699990098683124
caring,1087,0.035875771477606525
confusion,1368,0.045150004950658434
curiosity,2191,0.0723126175781379
desire,641,0.02115581372322519
disappointment,1269,0.04188257038186079
disapproval,2022,0.06673487573847321
disgust,793,0.026172480939965017
embarrassment,303,0.010000330043895838
excitement,853,0.028152744314993892
fear,596,0.01967061619195353
gratitude,2662,0.0878576850721146
joy,1452,0.04792237367569887
love,2086,0.06884715667183736
optimism,1581,0.052179939932010956
realization,1110,0.03663487243803426
remorse,545,0.01798739232317898
sadness,1326,0.04376382058813822
surprise,1060,0.03498465295884352
