layer_idx,layer_name,mean_probe_f1,information_gain
0,Emb,0.0,0.0
1,L0,0.3486291971255317,0.3486291971255317
2,L1,0.3969938392024692,0.04836464207693752
3,L2,0.41391238626913707,0.016918547066667806
4,L3,0.42880404433802655,0.014891658068889438
5,L4,0.4389098790307183,0.010105834692691862
6,L5,0.46662393267464747,0.0277140536439292
7,L6,0.4914201586896918,0.024796226015044324
8,L7,0.5112893464871417,0.019869187797449905
9,L8,0.5444783474015868,0.03318900091444508
10,L9,0.5671692783782414,0.022690930976654578
11,L10,0.5651755070304817,-0.0019937713477596393
12,L11,0.5689408375639782,0.0037653305334964275
