emotion,Emb,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11
admiration,0.0,0.5491606714628298,0.5807200929152149,0.6031746031746031,0.6164229471316085,0.6278814489571899,0.6767567567567567,0.667384284176534,0.6911447084233261,0.7261538461538461,0.7349397590361446,0.7274549098196392,0.7311178247734139
amusement,0.0,0.7019027484143763,0.7041666666666667,0.7051546391752578,0.7370517928286853,0.7858546168958742,0.7817460317460317,0.8060836501901141,0.8131021194605009,0.8221797323135756,0.8186915887850468,0.8195488721804511,0.8268156424581006
anger,0.0,0.291970802919708,0.3367003367003367,0.4013377926421405,0.43137254901960786,0.44871794871794873,0.48148148148148145,0.49079754601226994,0.5137614678899083,0.5337423312883436,0.4941860465116279,0.5434173669467787,0.5260273972602739
annoyance,0.0,0.14054054054054055,0.16831683168316833,0.20388349514563106,0.18886198547215496,0.21256038647342995,0.2557077625570776,0.28693790149892934,0.31101511879049676,0.33400402414486924,0.4144144144144144,0.41563055062166965,0.41404805914972276
approval,0.0,0.20705882352941177,0.2672413793103448,0.2570806100217865,0.2869198312236287,0.31020408163265306,0.3717171717171717,0.4083969465648855,0.4280442804428044,0.5048543689320388,0.5113464447806354,0.5465288035450517,0.5292397660818714
caring,0.0,0.20454545454545456,0.25380710659898476,0.26666666666666666,0.3251231527093596,0.3235294117647059,0.3557692307692308,0.42152466367713004,0.41818181818181815,0.49137931034482757,0.46551724137931033,0.502092050209205,0.4957983193277311
confusion,0.0,0.23148148148148148,0.2557077625570776,0.215962441314554,0.25339366515837103,0.2643171806167401,0.31275720164609055,0.3643410852713178,0.4092664092664093,0.4381625441696113,0.4816053511705686,0.5016501650165016,0.5
curiosity,0.0,0.5685071574642127,0.5725971370143149,0.588469184890656,0.551440329218107,0.5863453815261044,0.5945945945945946,0.6067415730337079,0.5962264150943396,0.6286764705882353,0.6423357664233577,0.6383763837638377,0.6738738738738739
desire,0.0,0.2909090909090909,0.35,0.37398373983739835,0.4,0.35,0.4297520661157025,0.4132231404958678,0.42857142857142855,0.5147058823529411,0.5815602836879432,0.5481481481481482,0.5333333333333333
disappointment,0.0,0.047058823529411764,0.05952380952380952,0.08045977011494253,0.12429378531073447,0.08045977011494253,0.1276595744680851,0.18811881188118812,0.22857142857142856,0.24413145539906103,0.36065573770491804,0.3153846153846154,0.35797665369649806
disapproval,0.0,0.23333333333333334,0.2924281984334204,0.29015544041450775,0.2773333333333333,0.30687830687830686,0.37346437346437344,0.41818181818181815,0.4489795918367347,0.5050505050505051,0.5213849287169042,0.5058365758754864,0.5038759689922481
disgust,0.0,0.24675324675324675,0.42528735632183906,0.42857142857142855,0.38636363636363635,0.4,0.4067796610169492,0.43820224719101125,0.4631578947368421,0.48704663212435234,0.5320197044334976,0.4803921568627451,0.47393364928909953
embarrassment,0.0,0.1702127659574468,0.21818181818181817,0.1694915254237288,0.21052631578947367,0.26666666666666666,0.3548387096774194,0.32142857142857145,0.40625,0.35714285714285715,0.36363636363636365,0.37333333333333335,0.36363636363636365
excitement,0.0,0.23357664233576642,0.36,0.3684210526315789,0.26993865030674846,0.32926829268292684,0.3048780487804878,0.3096774193548387,0.36585365853658536,0.4519774011299435,0.4397905759162304,0.3979591836734694,0.4723618090452261
fear,0.0,0.39285714285714285,0.47619047619047616,0.4782608695652174,0.631578947368421,0.6277372262773723,0.6,0.6388888888888888,0.6756756756756757,0.6583850931677019,0.7080745341614907,0.7023809523809523,0.6951219512195121
gratitude,0.0,0.8660714285714286,0.9037900874635568,0.8892086330935252,0.8901734104046243,0.9148629148629148,0.9190751445086706,0.9170305676855895,0.9170305676855895,0.9221902017291066,0.9114658925979681,0.9159420289855073,0.9172714078374455
joy,0.0,0.27149321266968324,0.39357429718875503,0.43846153846153846,0.4393939393939394,0.44274809160305345,0.47101449275362317,0.4758364312267658,0.47191011235955055,0.5285714285714286,0.6006825938566553,0.5933333333333334,0.5901639344262295
love,0.0,0.6956521739130435,0.7114093959731543,0.7553648068669528,0.7827956989247312,0.7645788336933045,0.7758620689655172,0.7818574514038877,0.7602591792656588,0.7983014861995754,0.8016877637130801,0.8042105263157895,0.8181818181818182
optimism,0.0,0.4620938628158845,0.45390070921985815,0.4948453608247423,0.5017182130584192,0.5217391304347826,0.5294117647058824,0.4605263157894737,0.4694533762057878,0.5619335347432024,0.5688073394495413,0.5552238805970149,0.5657142857142857
realization,0.0,0.0975609756097561,0.1787709497206704,0.2111111111111111,0.23157894736842105,0.20212765957446807,0.17486338797814208,0.2594594594594595,0.28865979381443296,0.27488151658767773,0.3274336283185841,0.2869198312236287,0.2987551867219917
remorse,0.0,0.5161290322580645,0.5094339622641509,0.5185185185185185,0.5,0.48484848484848486,0.5818181818181818,0.6481481481481481,0.6548672566371682,0.6296296296296297,0.625,0.6554621848739496,0.6324786324786325
sadness,0.0,0.35344827586206895,0.3682008368200837,0.4274193548387097,0.5039370078740157,0.48249027237354086,0.4927536231884058,0.5363984674329502,0.5230769230769231,0.562962962962963,0.5942028985507246,0.6209386281588448,0.607773851590106
surprise,0.0,0.24615384615384617,0.2909090909090909,0.35398230088495575,0.3222748815165877,0.3611111111111111,0.35964912280701755,0.4434782608695652,0.4765957446808511,0.5469387755102041,0.5454545454545454,0.5488721804511278,0.5581395348837209
