emotion,layer_idx,layer_name,probe_f1
admiration,0,Emb,0.0
admiration,1,L0,0.5491606714628298
admiration,2,L1,0.5807200929152149
admiration,3,L2,0.6031746031746031
admiration,4,L3,0.6164229471316085
admiration,5,L4,0.6278814489571899
admiration,6,L5,0.6767567567567567
admiration,7,L6,0.667384284176534
admiration,8,L7,0.6911447084233261
admiration,9,L8,0.7261538461538461
admiration,10,L9,0.7349397590361446
admiration,11,L10,0.7274549098196392
admiration,12,L11,0.7311178247734139
amusement,0,Emb,0.0
amusement,1,L0,0.7019027484143763
amusement,2,L1,0.7041666666666667
amusement,3,L2,0.7051546391752578
amusement,4,L3,0.7370517928286853
amusement,5,L4,0.7858546168958742
amusement,6,L5,0.7817460317460317
amusement,7,L6,0.8060836501901141
amusement,8,L7,0.8131021194605009
amusement,9,L8,0.8221797323135756
amusement,10,L9,0.8186915887850468
amusement,11,L10,0.8195488721804511
amusement,12,L11,0.8268156424581006
anger,0,Emb,0.0
anger,1,L0,0.291970802919708
anger,2,L1,0.3367003367003367
anger,3,L2,0.4013377926421405
anger,4,L3,0.43137254901960786
anger,5,L4,0.44871794871794873
anger,6,L5,0.48148148148148145
anger,7,L6,0.49079754601226994
anger,8,L7,0.5137614678899083
anger,9,L8,0.5337423312883436
anger,10,L9,0.4941860465116279
anger,11,L10,0.5434173669467787
anger,12,L11,0.5260273972602739
annoyance,0,Emb,0.0
annoyance,1,L0,0.14054054054054055
annoyance,2,L1,0.16831683168316833
annoyance,3,L2,0.20388349514563106
annoyance,4,L3,0.18886198547215496
annoyance,5,L4,0.21256038647342995
annoyance,6,L5,0.2557077625570776
annoyance,7,L6,0.28693790149892934
annoyance,8,L7,0.31101511879049676
annoyance,9,L8,0.33400402414486924
annoyance,10,L9,0.4144144144144144
annoyance,11,L10,0.41563055062166965
annoyance,12,L11,0.41404805914972276
approval,0,Emb,0.0
approval,1,L0,0.20705882352941177
approval,2,L1,0.2672413793103448
approval,3,L2,0.2570806100217865
approval,4,L3,0.2869198312236287
approval,5,L4,0.31020408163265306
approval,6,L5,0.3717171717171717
approval,7,L6,0.4083969465648855
approval,8,L7,0.4280442804428044
approval,9,L8,0.5048543689320388
approval,10,L9,0.5113464447806354
approval,11,L10,0.5465288035450517
approval,12,L11,0.5292397660818714
caring,0,Emb,0.0
caring,1,L0,0.20454545454545456
caring,2,L1,0.25380710659898476
caring,3,L2,0.26666666666666666
caring,4,L3,0.3251231527093596
caring,5,L4,0.3235294117647059
caring,6,L5,0.3557692307692308
caring,7,L6,0.42152466367713004
caring,8,L7,0.41818181818181815
caring,9,L8,0.49137931034482757
caring,10,L9,0.46551724137931033
caring,11,L10,0.502092050209205
caring,12,L11,0.4957983193277311
confusion,0,Emb,0.0
confusion,1,L0,0.23148148148148148
confusion,2,L1,0.2557077625570776
confusion,3,L2,0.215962441314554
confusion,4,L3,0.25339366515837103
confusion,5,L4,0.2643171806167401
confusion,6,L5,0.31275720164609055
confusion,7,L6,0.3643410852713178
confusion,8,L7,0.4092664092664093
confusion,9,L8,0.4381625441696113
confusion,10,L9,0.4816053511705686
confusion,11,L10,0.5016501650165016
confusion,12,L11,0.5
curiosity,0,Emb,0.0
curiosity,1,L0,0.5685071574642127
curiosity,2,L1,0.5725971370143149
curiosity,3,L2,0.588469184890656
curiosity,4,L3,0.551440329218107
curiosity,5,L4,0.5863453815261044
curiosity,6,L5,0.5945945945945946
curiosity,7,L6,0.6067415730337079
curiosity,8,L7,0.5962264150943396
curiosity,9,L8,0.6286764705882353
curiosity,10,L9,0.6423357664233577
curiosity,11,L10,0.6383763837638377
curiosity,12,L11,0.6738738738738739
desire,0,Emb,0.0
desire,1,L0,0.2909090909090909
desire,2,L1,0.35
desire,3,L2,0.37398373983739835
desire,4,L3,0.4
desire,5,L4,0.35
desire,6,L5,0.4297520661157025
desire,7,L6,0.4132231404958678
desire,8,L7,0.42857142857142855
desire,9,L8,0.5147058823529411
desire,10,L9,0.5815602836879432
desire,11,L10,0.5481481481481482
desire,12,L11,0.5333333333333333
disappointment,0,Emb,0.0
disappointment,1,L0,0.047058823529411764
disappointment,2,L1,0.05952380952380952
disappointment,3,L2,0.08045977011494253
disappointment,4,L3,0.12429378531073447
disappointment,5,L4,0.08045977011494253
disappointment,6,L5,0.1276595744680851
disappointment,7,L6,0.18811881188118812
disappointment,8,L7,0.22857142857142856
disappointment,9,L8,0.24413145539906103
disappointment,10,L9,0.36065573770491804
disappointment,11,L10,0.3153846153846154
disappointment,12,L11,0.35797665369649806
disapproval,0,Emb,0.0
disapproval,1,L0,0.23333333333333334
disapproval,2,L1,0.2924281984334204
disapproval,3,L2,0.29015544041450775
disapproval,4,L3,0.2773333333333333
disapproval,5,L4,0.30687830687830686
disapproval,6,L5,0.37346437346437344
disapproval,7,L6,0.41818181818181815
disapproval,8,L7,0.4489795918367347
disapproval,9,L8,0.5050505050505051
disapproval,10,L9,0.5213849287169042
disapproval,11,L10,0.5058365758754864
disapproval,12,L11,0.5038759689922481
disgust,0,Emb,0.0
disgust,1,L0,0.24675324675324675
disgust,2,L1,0.42528735632183906
disgust,3,L2,0.42857142857142855
disgust,4,L3,0.38636363636363635
disgust,5,L4,0.4
disgust,6,L5,0.4067796610169492
disgust,7,L6,0.43820224719101125
disgust,8,L7,0.4631578947368421
disgust,9,L8,0.48704663212435234
disgust,10,L9,0.5320197044334976
disgust,11,L10,0.4803921568627451
disgust,12,L11,0.47393364928909953
embarrassment,0,Emb,0.0
embarrassment,1,L0,0.1702127659574468
embarrassment,2,L1,0.21818181818181817
embarrassment,3,L2,0.1694915254237288
embarrassment,4,L3,0.21052631578947367
embarrassment,5,L4,0.26666666666666666
embarrassment,6,L5,0.3548387096774194
embarrassment,7,L6,0.32142857142857145
embarrassment,8,L7,0.40625
embarrassment,9,L8,0.35714285714285715
embarrassment,10,L9,0.36363636363636365
embarrassment,11,L10,0.37333333333333335
embarrassment,12,L11,0.36363636363636365
excitement,0,Emb,0.0
excitement,1,L0,0.23357664233576642
excitement,2,L1,0.36
excitement,3,L2,0.3684210526315789
excitement,4,L3,0.26993865030674846
excitement,5,L4,0.32926829268292684
excitement,6,L5,0.3048780487804878
excitement,7,L6,0.3096774193548387
excitement,8,L7,0.36585365853658536
excitement,9,L8,0.4519774011299435
excitement,10,L9,0.4397905759162304
excitement,11,L10,0.3979591836734694
excitement,12,L11,0.4723618090452261
fear,0,Emb,0.0
fear,1,L0,0.39285714285714285
fear,2,L1,0.47619047619047616
fear,3,L2,0.4782608695652174
fear,4,L3,0.631578947368421
fear,5,L4,0.6277372262773723
fear,6,L5,0.6
fear,7,L6,0.6388888888888888
fear,8,L7,0.6756756756756757
fear,9,L8,0.6583850931677019
fear,10,L9,0.7080745341614907
fear,11,L10,0.7023809523809523
fear,12,L11,0.6951219512195121
gratitude,0,Emb,0.0
gratitude,1,L0,0.8660714285714286
gratitude,2,L1,0.9037900874635568
gratitude,3,L2,0.8892086330935252
gratitude,4,L3,0.8901734104046243
gratitude,5,L4,0.9148629148629148
gratitude,6,L5,0.9190751445086706
gratitude,7,L6,0.9170305676855895
gratitude,8,L7,0.9170305676855895
gratitude,9,L8,0.9221902017291066
gratitude,10,L9,0.9114658925979681
gratitude,11,L10,0.9159420289855073
gratitude,12,L11,0.9172714078374455
joy,0,Emb,0.0
joy,1,L0,0.27149321266968324
joy,2,L1,0.39357429718875503
joy,3,L2,0.43846153846153846
joy,4,L3,0.4393939393939394
joy,5,L4,0.44274809160305345
joy,6,L5,0.47101449275362317
joy,7,L6,0.4758364312267658
joy,8,L7,0.47191011235955055
joy,9,L8,0.5285714285714286
joy,10,L9,0.6006825938566553
joy,11,L10,0.5933333333333334
joy,12,L11,0.5901639344262295
love,0,Emb,0.0
love,1,L0,0.6956521739130435
love,2,L1,0.7114093959731543
love,3,L2,0.7553648068669528
love,4,L3,0.7827956989247312
love,5,L4,0.7645788336933045
love,6,L5,0.7758620689655172
love,7,L6,0.7818574514038877
love,8,L7,0.7602591792656588
love,9,L8,0.7983014861995754
love,10,L9,0.8016877637130801
love,11,L10,0.8042105263157895
love,12,L11,0.8181818181818182
optimism,0,Emb,0.0
optimism,1,L0,0.4620938628158845
optimism,2,L1,0.45390070921985815
optimism,3,L2,0.4948453608247423
optimism,4,L3,0.5017182130584192
optimism,5,L4,0.5217391304347826
optimism,6,L5,0.5294117647058824
optimism,7,L6,0.4605263157894737
optimism,8,L7,0.4694533762057878
optimism,9,L8,0.5619335347432024
optimism,10,L9,0.5688073394495413
optimism,11,L10,0.5552238805970149
optimism,12,L11,0.5657142857142857
realization,0,Emb,0.0
realization,1,L0,0.0975609756097561
realization,2,L1,0.1787709497206704
realization,3,L2,0.2111111111111111
realization,4,L3,0.23157894736842105
realization,5,L4,0.20212765957446807
realization,6,L5,0.17486338797814208
realization,7,L6,0.2594594594594595
realization,8,L7,0.28865979381443296
realization,9,L8,0.27488151658767773
realization,10,L9,0.3274336283185841
realization,11,L10,0.2869198312236287
realization,12,L11,0.2987551867219917
remorse,0,Emb,0.0
remorse,1,L0,0.5161290322580645
remorse,2,L1,0.5094339622641509
remorse,3,L2,0.5185185185185185
remorse,4,L3,0.5
remorse,5,L4,0.48484848484848486
remorse,6,L5,0.5818181818181818
remorse,7,L6,0.6481481481481481
remorse,8,L7,0.6548672566371682
remorse,9,L8,0.6296296296296297
remorse,10,L9,0.625
remorse,11,L10,0.6554621848739496
remorse,12,L11,0.6324786324786325
sadness,0,Emb,0.0
sadness,1,L0,0.35344827586206895
sadness,2,L1,0.3682008368200837
sadness,3,L2,0.4274193548387097
sadness,4,L3,0.5039370078740157
sadness,5,L4,0.48249027237354086
