layer,component,emotion,baseline_f1,compressed_f1,patched_f1,restoration_score
11,attention,admiration,0.7565392354124748,0.0,0.7216721672167217,0.9539124125178475
11,attention,amusement,0.8528864059590316,0.0,0.7096774193548387,0.8320890266234682
11,attention,anger,0.5501432664756447,0.0,0.5196374622356495,0.9445493454179255
11,attention,annoyance,0.4112903225806452,0.0,0.4065040650406504,0.9883628248047186
11,attention,approval,0.5550239234449761,0.0,0.3094688221709007,0.5575774468423987
11,attention,caring,0.5423728813559322,0.0,0.47058823529411764,0.8676470588235294
11,attention,confusion,0.5128205128205128,0.0,0.42105263157894735,0.8210526315789474
11,attention,curiosity,0.7065217391304348,0.0,0.6435845213849287,0.9109196302678991
11,attention,desire,0.5354330708661418,0.0,0.023809523809523808,0.04446778711484593
11,attention,disappointment,0.2751322751322751,0.0,0.05161290322580645,0.18759305210918115
11,attention,disapproval,0.5265306122448979,0.0,0.4,0.7596899224806202
11,attention,disgust,0.5212765957446809,0.0,0.12213740458015267,0.2343044087864153
11,attention,embarrassment,0.26666666666666666,0.0,0.15,0.5625
11,attention,excitement,0.4539877300613497,0.0,0.17699115044247787,0.3898588854341067
11,attention,fear,0.7096774193548387,0.0,0.02531645569620253,0.03567318757192175
11,attention,gratitude,0.9273255813953488,0.0,0.9298245614035088,1.0
11,attention,joy,0.6348122866894198,0.0,0.3923444976076555,0.6180480526830272
11,attention,love,0.813141683778234,0.0,0.7250608272506083,0.8916783405834501
11,attention,optimism,0.573170731707317,0.0,0.4505928853754941,0.7861407787402238
11,attention,realization,0.2708333333333333,0.0,0.027210884353741496,0.10047095761381476
11,attention,remorse,0.6722689075630253,0.0,0.0,0.0
11,attention,sadness,0.6319702602230484,0.0,0.5178571428571429,0.8194327731092437
11,attention,surprise,0.5714285714285714,0.0,0.20253164556962025,0.35443037974683544
11,ffn,admiration,0.7565392354124748,0.0,0.7565392354124748,1.0
11,ffn,amusement,0.8528864059590316,0.0,0.8528864059590316,1.0
11,ffn,anger,0.5501432664756447,0.0,0.5501432664756447,1.0
11,ffn,annoyance,0.4112903225806452,0.0,0.4112903225806452,1.0
11,ffn,approval,0.5550239234449761,0.0,0.5550239234449761,1.0
11,ffn,caring,0.5423728813559322,0.0,0.5423728813559322,1.0
11,ffn,confusion,0.5128205128205128,0.0,0.5128205128205128,1.0
11,ffn,curiosity,0.7065217391304348,0.0,0.7065217391304348,1.0
11,ffn,desire,0.5354330708661418,0.0,0.5354330708661418,1.0
11,ffn,disappointment,0.2751322751322751,0.0,0.2751322751322751,1.0
11,ffn,disapproval,0.5265306122448979,0.0,0.5265306122448979,1.0
11,ffn,disgust,0.5212765957446809,0.0,0.5212765957446809,1.0
11,ffn,embarrassment,0.26666666666666666,0.0,0.26666666666666666,1.0
11,ffn,excitement,0.4539877300613497,0.0,0.4539877300613497,1.0
11,ffn,fear,0.7096774193548387,0.0,0.7096774193548387,1.0
11,ffn,gratitude,0.9273255813953488,0.0,0.9273255813953488,1.0
11,ffn,joy,0.6348122866894198,0.0,0.6348122866894198,1.0
11,ffn,love,0.813141683778234,0.0,0.813141683778234,1.0
11,ffn,optimism,0.573170731707317,0.0,0.573170731707317,1.0
11,ffn,realization,0.2708333333333333,0.0,0.2708333333333333,1.0
11,ffn,remorse,0.6722689075630253,0.0,0.6722689075630253,1.0
11,ffn,sadness,0.6319702602230484,0.0,0.6319702602230484,1.0
11,ffn,surprise,0.5714285714285714,0.0,0.5714285714285714,1.0
10,attention,admiration,0.7565392354124748,0.0,0.6047120418848168,0.7993135234488137
10,attention,amusement,0.8528864059590316,0.0,0.5867346938775511,0.6879400231708405
10,attention,anger,0.5501432664756447,0.0,0.2962962962962963,0.5385802469135802
10,attention,annoyance,0.4112903225806452,0.0,0.0,0.0
10,attention,approval,0.5550239234449761,0.0,0.028089887640449437,0.05061022859356838
10,attention,caring,0.5423728813559322,0.0,0.0,0.0
10,attention,confusion,0.5128205128205128,0.0,0.038461538461538464,0.07500000000000001
10,attention,curiosity,0.7065217391304348,0.0,0.1111111111111111,0.15726495726495726
10,attention,desire,0.5354330708661418,0.0,0.0,0.0
10,attention,disappointment,0.2751322751322751,0.0,0.0,0.0
10,attention,disapproval,0.5265306122448979,0.0,0.1254355400696864,0.238230289279637
10,attention,disgust,0.5212765957446809,0.0,0.0,0.0
10,attention,embarrassment,0.26666666666666666,0.0,0.0,0.0
10,attention,excitement,0.4539877300613497,0.0,0.0,0.0
10,attention,fear,0.7096774193548387,0.0,0.0,0.0
10,attention,gratitude,0.9273255813953488,0.0,0.9121212121212121,0.9836040657357272
10,attention,joy,0.6348122866894198,0.0,0.0935672514619883,0.1473935735395837
10,attention,love,0.813141683778234,0.0,0.6539509536784741,0.8042275617207498
10,attention,optimism,0.573170731707317,0.0,0.0,0.0
10,attention,realization,0.2708333333333333,0.0,0.0,0.0
10,attention,remorse,0.6722689075630253,0.0,0.0,0.0
10,attention,sadness,0.6319702602230484,0.0,0.14285714285714285,0.2260504201680672
10,attention,surprise,0.5714285714285714,0.0,0.0,0.0
10,ffn,admiration,0.7565392354124748,0.0,0.5973684210526315,0.7896066629339306
10,ffn,amusement,0.8528864059590316,0.0,0.6390243902439025,0.7492491213121738
10,ffn,anger,0.5501432664756447,0.0,0.04926108374384237,0.08954228243021346
10,ffn,annoyance,0.4112903225806452,0.0,0.07228915662650602,0.1757618710134656
10,ffn,approval,0.5550239234449761,0.0,0.04456824512534819,0.080299683027567
10,ffn,caring,0.5423728813559322,0.0,0.0,0.0
10,ffn,confusion,0.5128205128205128,0.0,0.08695652173913043,0.16956521739130437
10,ffn,curiosity,0.7065217391304348,0.0,0.048109965635738834,0.06809410520750726
10,ffn,desire,0.5354330708661418,0.0,0.0,0.0
10,ffn,disappointment,0.2751322751322751,0.0,0.0,0.0
10,ffn,disapproval,0.5265306122448979,0.0,0.09219858156028368,0.17510583319588763
10,ffn,disgust,0.5212765957446809,0.0,0.0,0.0
10,ffn,embarrassment,0.26666666666666666,0.0,0.0,0.0
10,ffn,excitement,0.4539877300613497,0.0,0.0,0.0
10,ffn,fear,0.7096774193548387,0.0,0.0,0.0
10,ffn,gratitude,0.9273255813953488,0.0,0.8978328173374613,0.96819589079651
10,ffn,joy,0.6348122866894198,0.0,0.036585365853658534,0.0576317859952793
10,ffn,love,0.813141683778234,0.0,0.47468354430379744,0.583764863828155
10,ffn,optimism,0.573170731707317,0.0,0.0,0.0
10,ffn,realization,0.2708333333333333,0.0,0.0,0.0
10,ffn,remorse,0.6722689075630253,0.0,0.0,0.0
10,ffn,sadness,0.6319702602230484,0.0,0.17543859649122806,0.2776057791537667
10,ffn,surprise,0.5714285714285714,0.0,0.0,0.0
9,attention,admiration,0.7565392354124748,0.0,0.06896551724137931,0.09115920763022745
9,attention,amusement,0.8528864059590316,0.0,0.0,0.0
9,attention,anger,0.5501432664756447,0.0,0.0,0.0
9,attention,annoyance,0.4112903225806452,0.0,0.0,0.0
9,attention,approval,0.5550239234449761,0.0,0.0,0.0
9,attention,caring,0.5423728813559322,0.0,0.0,0.0
9,attention,confusion,0.5128205128205128,0.0,0.0,0.0
9,attention,curiosity,0.7065217391304348,0.0,0.0,0.0
9,attention,desire,0.5354330708661418,0.0,0.0,0.0
9,attention,disappointment,0.2751322751322751,0.0,0.0,0.0
9,attention,disapproval,0.5265306122448979,0.0,0.0,0.0
9,attention,disgust,0.5212765957446809,0.0,0.0,0.0
9,attention,embarrassment,0.26666666666666666,0.0,0.0,0.0
9,attention,excitement,0.4539877300613497,0.0,0.0,0.0
9,attention,fear,0.7096774193548387,0.0,0.0,0.0
9,attention,gratitude,0.9273255813953488,0.0,0.680373831775701,0.7336946649869628
9,attention,joy,0.6348122866894198,0.0,0.0,0.0
9,attention,love,0.813141683778234,0.0,0.0,0.0
