layer,emotion,baseline_f1,compressed_f1,patched_f1,restoration_score
0,admiration,0.7565392354124748,0.0,0.0,0.0
0,amusement,0.8528864059590316,0.0,0.0,0.0
0,anger,0.5501432664756447,0.0,0.0,0.0
0,annoyance,0.4112903225806452,0.0,0.0,0.0
0,approval,0.5550239234449761,0.0,0.0,0.0
0,caring,0.5423728813559322,0.0,0.0,0.0
0,confusion,0.5128205128205128,0.0,0.0,0.0
0,curiosity,0.7065217391304348,0.0,0.0,0.0
0,desire,0.5354330708661418,0.0,0.0,0.0
0,disappointment,0.2751322751322751,0.0,0.0,0.0
0,disapproval,0.5265306122448979,0.0,0.0,0.0
0,disgust,0.5212765957446809,0.0,0.0,0.0
0,embarrassment,0.26666666666666666,0.0,0.0,0.0
0,excitement,0.4539877300613497,0.0,0.0,0.0
0,fear,0.7096774193548387,0.0,0.0,0.0
0,gratitude,0.9273255813953488,0.0,0.0,0.0
0,joy,0.6348122866894198,0.0,0.0,0.0
0,love,0.813141683778234,0.0,0.0,0.0
0,optimism,0.573170731707317,0.0,0.0,0.0
0,realization,0.2708333333333333,0.0,0.0,0.0
0,remorse,0.6722689075630253,0.0,0.0,0.0
0,sadness,0.6319702602230484,0.0,0.0,0.0
0,surprise,0.5714285714285714,0.0,0.0,0.0
1,admiration,0.7565392354124748,0.0,0.0,0.0
1,amusement,0.8528864059590316,0.0,0.0,0.0
1,anger,0.5501432664756447,0.0,0.0,0.0
1,annoyance,0.4112903225806452,0.0,0.0,0.0
1,approval,0.5550239234449761,0.0,0.0,0.0
1,caring,0.5423728813559322,0.0,0.0,0.0
1,confusion,0.5128205128205128,0.0,0.0,0.0
1,curiosity,0.7065217391304348,0.0,0.0,0.0
1,desire,0.5354330708661418,0.0,0.0,0.0
1,disappointment,0.2751322751322751,0.0,0.0,0.0
1,disapproval,0.5265306122448979,0.0,0.0,0.0
1,disgust,0.5212765957446809,0.0,0.0,0.0
1,embarrassment,0.26666666666666666,0.0,0.0,0.0
1,excitement,0.4539877300613497,0.0,0.0,0.0
1,fear,0.7096774193548387,0.0,0.0,0.0
1,gratitude,0.9273255813953488,0.0,0.0,0.0
1,joy,0.6348122866894198,0.0,0.0,0.0
1,love,0.813141683778234,0.0,0.0,0.0
1,optimism,0.573170731707317,0.0,0.0,0.0
1,realization,0.2708333333333333,0.0,0.0,0.0
1,remorse,0.6722689075630253,0.0,0.0,0.0
1,sadness,0.6319702602230484,0.0,0.0,0.0
1,surprise,0.5714285714285714,0.0,0.0,0.0
2,admiration,0.7565392354124748,0.0,0.0,0.0
2,amusement,0.8528864059590316,0.0,0.0,0.0
2,anger,0.5501432664756447,0.0,0.0,0.0
2,annoyance,0.4112903225806452,0.0,0.0,0.0
2,approval,0.5550239234449761,0.0,0.0,0.0
2,caring,0.5423728813559322,0.0,0.0,0.0
2,confusion,0.5128205128205128,0.0,0.0,0.0
2,curiosity,0.7065217391304348,0.0,0.0,0.0
2,desire,0.5354330708661418,0.0,0.0,0.0
2,disappointment,0.2751322751322751,0.0,0.0,0.0
2,disapproval,0.5265306122448979,0.0,0.0,0.0
2,disgust,0.5212765957446809,0.0,0.0,0.0
2,embarrassment,0.26666666666666666,0.0,0.0,0.0
2,excitement,0.4539877300613497,0.0,0.0,0.0
2,fear,0.7096774193548387,0.0,0.0,0.0
2,gratitude,0.9273255813953488,0.0,0.0,0.0
2,joy,0.6348122866894198,0.0,0.0,0.0
2,love,0.813141683778234,0.0,0.0,0.0
2,optimism,0.573170731707317,0.0,0.0,0.0
2,realization,0.2708333333333333,0.0,0.0,0.0
2,remorse,0.6722689075630253,0.0,0.0,0.0
2,sadness,0.6319702602230484,0.0,0.0,0.0
2,surprise,0.5714285714285714,0.0,0.0,0.0
3,admiration,0.7565392354124748,0.0,0.0,0.0
3,amusement,0.8528864059590316,0.0,0.0,0.0
3,anger,0.5501432664756447,0.0,0.0,0.0
3,annoyance,0.4112903225806452,0.0,0.0,0.0
3,approval,0.5550239234449761,0.0,0.0,0.0
3,caring,0.5423728813559322,0.0,0.0,0.0
3,confusion,0.5128205128205128,0.0,0.0,0.0
3,curiosity,0.7065217391304348,0.0,0.0,0.0
3,desire,0.5354330708661418,0.0,0.0,0.0
3,disappointment,0.2751322751322751,0.0,0.0,0.0
3,disapproval,0.5265306122448979,0.0,0.0,0.0
3,disgust,0.5212765957446809,0.0,0.0,0.0
3,embarrassment,0.26666666666666666,0.0,0.0,0.0
3,excitement,0.4539877300613497,0.0,0.0,0.0
3,fear,0.7096774193548387,0.0,0.0,0.0
3,gratitude,0.9273255813953488,0.0,0.0,0.0
3,joy,0.6348122866894198,0.0,0.0,0.0
3,love,0.813141683778234,0.0,0.0,0.0
3,optimism,0.573170731707317,0.0,0.0,0.0
3,realization,0.2708333333333333,0.0,0.0,0.0
3,remorse,0.6722689075630253,0.0,0.0,0.0
3,sadness,0.6319702602230484,0.0,0.0,0.0
3,surprise,0.5714285714285714,0.0,0.0,0.0
4,admiration,0.7565392354124748,0.0,0.0,0.0
4,amusement,0.8528864059590316,0.0,0.0,0.0
4,anger,0.5501432664756447,0.0,0.0,0.0
4,annoyance,0.4112903225806452,0.0,0.0,0.0
4,approval,0.5550239234449761,0.0,0.0,0.0
4,caring,0.5423728813559322,0.0,0.0,0.0
4,confusion,0.5128205128205128,0.0,0.0,0.0
4,curiosity,0.7065217391304348,0.0,0.0,0.0
4,desire,0.5354330708661418,0.0,0.0,0.0
4,disappointment,0.2751322751322751,0.0,0.0,0.0
4,disapproval,0.5265306122448979,0.0,0.0,0.0
4,disgust,0.5212765957446809,0.0,0.0,0.0
4,embarrassment,0.26666666666666666,0.0,0.0,0.0
4,excitement,0.4539877300613497,0.0,0.0,0.0
4,fear,0.7096774193548387,0.0,0.0,0.0
4,gratitude,0.9273255813953488,0.0,0.0,0.0
4,joy,0.6348122866894198,0.0,0.0,0.0
4,love,0.813141683778234,0.0,0.0,0.0
4,optimism,0.573170731707317,0.0,0.0,0.0
4,realization,0.2708333333333333,0.0,0.0,0.0
4,remorse,0.6722689075630253,0.0,0.0,0.0
4,sadness,0.6319702602230484,0.0,0.0,0.0
4,surprise,0.5714285714285714,0.0,0.0,0.0
5,admiration,0.7565392354124748,0.0,0.0,0.0
5,amusement,0.8528864059590316,0.0,0.0,0.0
5,anger,0.5501432664756447,0.0,0.0,0.0
5,annoyance,0.4112903225806452,0.0,0.0,0.0
5,approval,0.5550239234449761,0.0,0.0,0.0
5,caring,0.5423728813559322,0.0,0.0,0.0
5,confusion,0.5128205128205128,0.0,0.0,0.0
5,curiosity,0.7065217391304348,0.0,0.0,0.0
5,desire,0.5354330708661418,0.0,0.0,0.0
5,disappointment,0.2751322751322751,0.0,0.0,0.0
5,disapproval,0.5265306122448979,0.0,0.0,0.0
5,disgust,0.5212765957446809,0.0,0.0,0.0
5,embarrassment,0.26666666666666666,0.0,0.0,0.0
5,excitement,0.4539877300613497,0.0,0.0,0.0
5,fear,0.7096774193548387,0.0,0.0,0.0
5,gratitude,0.9273255813953488,0.0,0.0,0.0
5,joy,0.6348122866894198,0.0,0.0,0.0
5,love,0.813141683778234,0.0,0.0,0.0
5,optimism,0.573170731707317,0.0,0.0,0.0
5,realization,0.2708333333333333,0.0,0.0,0.0
5,remorse,0.6722689075630253,0.0,0.0,0.0
5,sadness,0.6319702602230484,0.0,0.0,0.0
5,surprise,0.5714285714285714,0.0,0.0,0.0
6,admiration,0.7565392354124748,0.0,0.0,0.0
6,amusement,0.8528864059590316,0.0,0.0,0.0
6,anger,0.5501432664756447,0.0,0.0,0.0
6,annoyance,0.4112903225806452,0.0,0.0,0.0
6,approval,0.5550239234449761,0.0,0.0,0.0
6,caring,0.5423728813559322,0.0,0.0,0.0
6,confusion,0.5128205128205128,0.0,0.0,0.0
6,curiosity,0.7065217391304348,0.0,0.0,0.0
6,desire,0.5354330708661418,0.0,0.0,0.0
6,disappointment,0.2751322751322751,0.0,0.0,0.0
6,disapproval,0.5265306122448979,0.0,0.0,0.0
6,disgust,0.5212765957446809,0.0,0.0,0.0
6,embarrassment,0.26666666666666666,0.0,0.0,0.0
6,excitement,0.4539877300613497,0.0,0.0,0.0
6,fear,0.7096774193548387,0.0,0.0,0.0
6,gratitude,0.9273255813953488,0.0,0.0,0.0
6,joy,0.6348122866894198,0.0,0.0,0.0
6,love,0.813141683778234,0.0,0.0,0.0
6,optimism,0.573170731707317,0.0,0.0,0.0
6,realization,0.2708333333333333,0.0,0.0,0.0
6,remorse,0.6722689075630253,0.0,0.0,0.0
6,sadness,0.6319702602230484,0.0,0.0,0.0
6,surprise,0.5714285714285714,0.0,0.0,0.0
7,admiration,0.7565392354124748,0.0,0.0,0.0
7,amusement,0.8528864059590316,0.0,0.0,0.0
7,anger,0.5501432664756447,0.0,0.0,0.0
7,annoyance,0.4112903225806452,0.0,0.0,0.0
7,approval,0.5550239234449761,0.0,0.0,0.0
7,caring,0.5423728813559322,0.0,0.0,0.0
