model,f1_macro
baseline,0.577011044059513
compressed_rank_64,0.0
patched_layer_0,0.0
patched_layer_1,0.0
patched_layer_2,0.0
patched_layer_3,0.0
patched_layer_4,0.0
patched_layer_5,0.0
patched_layer_6,0.0
patched_layer_7,0.0
patched_layer_8,0.0009770395701025891
patched_layer_9,0.023700794760129297
patched_layer_10,0.13975289955276213
patched_layer_11,0.577011044059513
patched_layer_11_attention,0.36510761767168204
patched_layer_11_ffn,0.577011044059513
patched_layer_10_attention,0.156232072585229
patched_layer_10_ffn,0.13975289955276213
patched_layer_9_attention,0.032579971696394795
patched_layer_9_ffn,0.023700794760129297
patched_layer_8_attention,0.0
patched_layer_8_ffn,0.0009770395701025891
