layer,head,category,total_importance,selectivity,macro_f1_drop
0,3,Critical Specialists,0.28573597998201744,0.7027185575284207,-0.0027387586334018943
0,4,Critical Specialists,0.21145351325882322,0.6266965451839477,-0.003969001770906977
1,10,Critical Specialists,0.22987491676234467,0.6743417800878548,-0.005116162283402725
2,3,Critical Specialists,0.15157286911722118,0.635913416318608,-0.0031455426847679657
2,10,Critical Specialists,0.2256632266631654,0.6607254433361238,0.0055817709764409695
3,7,Critical Specialists,0.1748876453750534,0.7503753083608764,-0.004675755128607517
4,4,Critical Specialists,0.16995166058388317,0.7430665264486573,0.00012803378668135856
4,10,Critical Specialists,0.16920624041742588,0.6939039745257576,-0.003287359104434562
5,1,Critical Specialists,0.16237005345084837,0.6731000529736904,-0.004336057259930581
5,2,Critical Specialists,0.18133775824539117,0.6205678968331907,-0.0042585535668739904
5,3,Critical Specialists,0.17043028528156856,0.7326005049671085,-0.0021243035270271937
5,4,Critical Specialists,0.2017590130004756,0.6222587561695512,-0.003925184721443986
5,6,Critical Specialists,0.16755499205562746,0.6338037541298942,-0.003529248048988798
6,1,Critical Specialists,0.17120118612057444,0.695921602004689,-0.004109287879747847
6,2,Critical Specialists,0.16249951472814356,0.644779637474918,-0.0022118682275409363
6,11,Critical Specialists,0.18318644920501498,0.6260932664911372,-0.0027707906900023005
7,3,Critical Specialists,0.17483348068477556,0.6398193227107833,-0.0013405818194298647
7,9,Critical Specialists,0.17381185146322475,0.7030932865031889,-0.004333136154403117
7,10,Critical Specialists,0.1826078154810068,0.7081595534274214,-0.002637428489125071
8,4,Critical Specialists,0.3394067078508962,0.6838433943922184,0.006345742785238584
8,6,Critical Specialists,0.19265102904792147,0.6677072010941729,-0.003338403235507603
8,9,Critical Specialists,0.5255063248216432,0.6367688223994041,0.010068012307425933
9,1,Critical Specialists,0.17645794225647282,0.7549677875908329,-0.0020582813185289206
9,6,Critical Specialists,0.172057343701098,0.7243741016802472,-0.0013299899811541893
9,8,Critical Specialists,0.3617298524212841,0.661957716556306,0.011381927230189604
9,11,Critical Specialists,0.175535689743417,0.6724967176035002,-0.00040356379709927115
10,1,Critical Specialists,0.6830701131648113,0.6613304761949639,0.021796978993287697
10,3,Critical Specialists,0.25874654072903436,0.6618163428555421,-0.002538390661163792
10,4,Critical Specialists,0.6201859199989349,0.6826333793290948,0.017704523760677215
10,7,Critical Specialists,0.3278819634392735,0.6274733218553914,-0.0008846557439430303
10,8,Critical Specialists,0.19827094240091137,0.6620519740881701,0.00447271384556025
11,2,Critical Specialists,0.5305023006343241,0.7832679149474069,0.021248385840237916
11,5,Critical Specialists,0.3940145298643864,0.6346174220613723,-0.01209706007563871
11,6,Critical Specialists,0.3399909114950755,0.6308808999383413,0.003300364787982346
11,8,Critical Specialists,0.5508012551295578,0.8311239259111216,0.020378356369978534
11,9,Critical Specialists,0.43865387275404055,0.7706609861324978,0.010083793332910096
11,11,Critical Specialists,0.6024491145317138,0.6357725357827773,0.022711627506681764
0,6,Critical Generalists,0.2356147380997891,0.5501138974716926,-0.003443358612605918
0,8,Critical Generalists,0.2101309421495809,0.5597024897108422,0.003702934499146049
0,9,Critical Generalists,0.16149113935998732,0.5777395387036852,-0.00037727227095107896
1,4,Critical Generalists,0.15171076360734204,0.6112053830875839,-0.002603906889988905
2,1,Critical Generalists,0.19734341650068593,0.4691999084827583,-0.004690310746360171
3,0,Critical Generalists,0.3072401714365745,0.5764893652854526,-0.0008412618456191678
4,0,Critical Generalists,0.2752464389115316,0.5501468095825826,0.004877270540054379
4,5,Critical Generalists,0.17017662567009428,0.4540345353456121,-0.0012126634063754915
5,8,Critical Generalists,0.16310812593803647,0.6014212497715872,-0.0002271553902076784
5,10,Critical Generalists,0.16536998171071415,0.591690354031202,-8.450227911815933e-05
