head,L0H0,L0H1,L0H2,L0H3,L0H4,L0H5,L0H6,L0H7,L0H8,L0H9,L0H10,L0H11,L1H0,L1H1,L1H2,L1H3,L1H4,L1H5,L1H6,L1H7,L1H8,L1H9,L1H10,L1H11,L2H0,L2H1,L2H2,L2H3,L2H4,L2H5,L2H6,L2H7,L2H8,L2H9,L2H10,L2H11,L3H0,L3H1,L3H2,L3H3,L3H4,L3H5,L3H6,L3H7,L3H8,L3H9,L3H10,L3H11,L4H0,L4H1,L4H2,L4H3,L4H4,L4H5,L4H6,L4H7,L4H8,L4H9,L4H10,L4H11,L5H0,L5H1,L5H2,L5H3,L5H4,L5H5,L5H6,L5H7,L5H8,L5H9,L5H10,L5H11,L6H0,L6H1,L6H2,L6H3,L6H4,L6H5,L6H6,L6H7,L6H8,L6H9,L6H10,L6H11,L7H0,L7H1,L7H2,L7H3,L7H4,L7H5,L7H6,L7H7,L7H8,L7H9,L7H10,L7H11,L8H0,L8H1,L8H2,L8H3,L8H4,L8H5,L8H6,L8H7,L8H8,L8H9,L8H10,L8H11,L9H0,L9H1,L9H2,L9H3,L9H4,L9H5,L9H6,L9H7,L9H8,L9H9,L9H10,L9H11,L10H0,L10H1,L10H2,L10H3,L10H4,L10H5,L10H6,L10H7,L10H8,L10H9,L10H10,L10H11,L11H0,L11H1,L11H2,L11H3,L11H4,L11H5,L11H6,L11H7,L11H8,L11H9,L11H10,L11H11
L0H0,0.9999999999999999,0.29984206505057703,0.07605093961008098,-0.3583043961608611,-0.17548630162615023,0.5287334939404977,-0.21500704399406262,0.4478537776459258,0.2011852459467376,0.27011854497032894,0.31691353092284447,0.46386241604462686,0.4422891835759206,0.26119266182307677,0.28305695673569503,-0.047408892475470685,0.6166495048447121,0.11964157538258095,-0.01386482660481565,0.3831390721558776,0.0860777574792397,0.3526958782672169,-0.28593999462986613,0.01817934075582947,0.14559025261395955,0.41982004003037876,0.40687058074208976,-0.14653126150546203,0.3849029335303546,0.37467432001430406,-0.01434659327639654,0.4171186957516203,0.481541304284428,0.06743107498802742,0.37579154328275266,0.35291204965696044,-0.33292625340211784,0.27073259529714544,0.35527605916066074,0.373448187577981,0.06059151245115142,0.08870322914249346,0.36759673184001235,-0.2633767300138536,0.23846823119856483,0.45041404610070035,0.247735709658402,0.12124041040857096,0.4698199656428875,-0.30627342299162913,0.044700772761573054,0.12805123355851536,-0.2963833706636132,0.25613592936747304,0.39727087685482637,0.4158804363411078,-0.41217919097414857,0.21372149406688118,-0.2802754032795823,0.2927805359956892,0.48835631092090304,-0.12312632283882663,-0.3245114194864191,-0.25787257193837815,-0.2729030497597207,0.21364148706952085,-0.20319734576130685,0.1255653965948656,-0.26117034652050036,0.11902460791801585,0.04991187792409277,0.530549052723695,0.066352233608466,-0.30471771165669703,-0.3091187962462541,0.12298850809972428,-0.09055569633138694,0.3830815603053858,0.04898006363068693,0.43968789808344744,0.04669520985885531,0.491798667686469,0.06972568903823669,-0.24538755219591818,0.16382582342068386,-0.29617059265642837,0.2795480545638558,0.11071706334917776,-0.3027309797618995,-0.14653298535915038,-0.12056408853386391,-0.25159717080510463,0.1415031504356182,-0.2411104170890806,-0.22428601428797668,0.020465708418752022,0.21897645355739484,-0.21469421129132857,-0.310493225662017,-0.17516897597335274,0.34052481442743304,0.31593831976566866,-0.25079284603153246,0.6359057417260114,0.5473023713903415,0.4532493199878994,0.15196956839256326,0.17632821802572246,0.41378428944714757,-0.22728010363170126,0.01660918133883212,-0.0005509863614862786,0.12404498194470737,0.6900857717425175,-0.4522086049036126,0.13813668745589872,0.4766200170555565,0.017033891449714622,-0.09077132470145087,-0.2927344010021929,0.6615432319843997,0.5454507906677291,-0.23655667625192642,-0.41478341534795626,0.4862984674534529,-0.5775174379698039,0.1967811413336928,-0.37755908956682876,0.3229404844735154,0.36345413286591177,0.5478220737643406,-0.5643278320665346,0.07196963620391748,0.3152823356994263,0.5588522277983897,0.49135138911538573,0.5562850831689208,-0.5098505239267203,-0.23920643218568652,0.3723751133937895,0.5943727210031323,0.5818703565992874,-0.4234932036836212,0.5151455253595095
L0H1,0.29984206505057703,0.9999999999999998,0.6810510143755192,0.16402777581921674,0.18735905212168474,0.5054094116563995,0.15432862604692726,-0.09216565507881148,0.5427391335755322,0.4763965802742432,0.4009721280495106,0.259098073472591,0.6779916653105719,0.489867882466355,0.37597587411552197,0.5186986135714315,0.23377259453254332,0.662844187075959,-0.05193675705662842,0.7073129410210724,0.2500584646621178,0.38832492642474237,0.13165448311412617,0.29079682245935284,0.6471828517966832,0.2236598066023416,0.6334267203612486,0.20877441076833284,0.46703239372267974,0.16401179392649348,0.31211305756131486,0.5357126101068056,0.13156794062141947,0.21138746292468216,0.3639113459950518,0.19819963654261258,0.31848105764245616,0.35235107089293044,0.17238264478654336,0.66074361781875,0.49959206415411317,0.45783551660054117,0.6318598258582107,0.3891954197366805,0.4124353845496726,0.46821723081372285,0.25174081767212514,0.13791599241506697,0.21752023591536793,0.19424576163682988,0.5789422393350853,0.4047655664285673,0.1249684963083482,0.6646989309198862,0.07775603707571128,0.09234821877605034,-0.13566088583659738,0.34998382779253195,0.07196388808559649,0.40401976738498113,0.34128774607935297,0.09403209201362299,0.1617119963092775,0.2143880289993505,0.33223119584572114,0.2863789705232443,0.04476486772529161,0.435662988327164,0.15363536469800987,0.38825301687868985,0.6627327390596162,0.3164376301757425,0.2559392463766815,0.05497634072305253,0.08997128290567319,0.20819587763694414,0.6021741232216979,0.43610224413591137,0.3665117806699302,0.37447075532032703,0.2736006529355358,0.19217255359854293,0.43885968028105593,0.18650710012383898,0.06480002244056209,0.38987527299141983,0.25164972668347474,0.5978202834577405,0.18750780472302692,0.3048612470485096,0.3980730470511046,0.30500742748768994,0.21587932227545112,0.039170414856681976,0.15031181599129742,0.5623116526540571,0.5750934451678079,0.1902197980558504,-0.024093456479576225,-0.06588808467496036,0.12343455423819986,0.7937004296199842,0.26095421475758496,0.1670951978844517,0.24561450675914387,0.2227621459451842,0.35252980582279164,0.08389765976431696,0.4699109290122616,-0.11385093035130449,-0.007805767588415688,0.31929859433049373,0.21435218515649357,0.34068401423365213,0.07214119566071801,0.515378599228382,0.07843670619307315,0.48626899189943484,0.20450827765712318,0.08504982614177646,0.32572367814288655,0.2135839533895673,0.17861515961892058,0.04092810237691933,0.14331011361187687,0.12859938488487224,0.2616938890727904,0.11733488791216296,0.5489749805201559,0.2762473427966953,0.18227145822957766,-0.12857043128275641,0.23347605741963093,0.34114024811149407,0.13287812797556933,0.37678752967496426,0.17002689962951334,0.027702847260731047,0.340334034261571,0.40167560884453446,0.17435827077699717,0.17513359966685338,0.22277889367820902,0.19920395492475387
L0H2,0.076050939610081,0.6810510143755193,1.0,0.10259326140720311,0.3478363062082408,0.1685879749244059,0.22018765361702705,0.16171733766001453,0.21883786775232947,0.30031298447518795,0.2886877640639581,0.35265747943994236,0.36532018499130064,0.2721078609944425,0.4667845320658342,0.3891168722600115,0.21881284094397022,0.5338013413812611,0.004288982361330585,0.29903722469468574,0.3340715314583044,0.5953936147147292,0.17872934416909703,0.5227460802631235,0.39944458385120934,0.05507028445187542,0.5972922735762534,0.23924493307116432,0.20503331805203923,0.2580056046270805,0.10050485555153639,0.34085851711237947,0.12971365981895885,0.20731551680888258,0.22423956317391228,-0.07123581860805717,0.181217369759232,0.380725520247636,0.35561487983780116,0.2515695229484648,0.6478076145876257,0.23792421251867404,0.3765536999492955,0.35440623883246547,0.5116371321943975,0.2189277469652285,0.07661596291947534,0.2331682592509562,0.16052505686682436,0.035627024509573474,0.6172653213923636,0.4736419320231022,0.022455754799178648,0.5064520827810417,0.0363606940232587,0.2109841727387964,-0.1321870858782192,0.3344412917931494,0.03180335997519452,0.2972791926452321,0.04473884254042538,0.034128045176388615,0.1485566385690604,0.1804874947264199,0.20935239592113625,0.46818087170655626,-0.0669351870876513,0.36651135797654477,0.02568619012853349,0.397738054848928,0.317558510010623,0.19135542267587072,0.23518743068714026,0.12447926455277353,0.12291320294294424,0.28840061258175564,0.31205490521844387,0.3337499323184133,0.3603262129316856,0.23321073416767898,0.037295950733997794,0.1478885226729637,0.3153779144130283,0.09904039764356157,0.12273367533710237,0.45227115725500167,0.1195831782527009,0.46624370570422397,0.15793051212724393,0.36636683700755374,0.305408336611375,0.2911360894595722,0.5212703706941756,0.16800204795630755,0.14504771972962738,0.5328950022057106,0.6454394459523263,0.05173583588690673,-0.0008625872686086353,0.08916681403102687,0.09470107835615016,0.6825986273359903,0.31603223334807373,0.2329832598174154,0.05785636007841012,0.18725914252230816,0.37290638772369683,-0.007377408552065646,0.23551629532761767,-0.04670687731264833,0.010765357071376795,0.3079924600648983,0.07386430710027753,0.11003365953919696,0.0810748433090623,0.43315113980633135,0.004087122746892648,0.1962840696371299,0.14154001517269751,0.13232996559689136,0.19136718176047887,0.11384507249558048,0.1888561067421011,-0.07034832083215582,0.05883984172446716,0.03194335119265701,0.25328425366606505,0.11202009465903053,0.1982858562850745,0.28997541168758006,0.1087673887331967,0.08442461732031346,0.18536327115538817,0.08552507700179114,0.079470831517552,0.2252936491658157,0.023347350572893596,0.10507182266643454,0.18348860892223548,0.31537468758769555,0.10193753778060914,0.18632172583293016,0.05557943475671177,0.006883158760097983
L0H3,-0.3583043961608611,0.16402777581921674,0.10259326140720311,1.0,0.8462897951980608,0.150614192639496,0.7886255720590901,0.08519882512768864,0.29428858235080874,0.17002094832659984,0.1977600393175576,-0.002828281402616874,-0.16492539601759093,0.08365622746262738,0.10437462254915526,0.09869451513173726,0.03330160112789143,0.2714358777359834,0.08319359173465317,0.22712189528759155,0.08278173625964323,-0.05132184501982977,0.7908699892170399,0.13914658890550627,0.17661315799073535,-0.05837560453723433,0.20767635484967692,0.8405391644316438,0.15692624638314467,-0.05311883454002815,0.14954920695426352,0.2668634046489288,-0.02612889542972766,0.19046167791339322,-0.5617947196769755,0.08426300229126969,0.7773907845560122,-0.01655754443511322,0.02726573422217676,0.23741772535005062,0.0029638986696665266,0.11072217517845753,0.1532091893476952,0.9176946415219602,0.18903184190381037,-0.13549503863120127,0.0020271624986656677,-0.06295803390327014,-0.5313090625371324,0.917460390992206,0.04015531717692858,0.050637819843892116,0.864184643510906,-0.051219295979721746,0.03347220276365588,-0.09631164031627569,0.8631894299038294,0.13262755270595836,0.8059215435276539,0.004524521003035886,-0.263502974876212,0.9061724163126197,0.8955969095403994,0.9034247233419666,0.8915499006589882,-0.0039189260347365275,0.8339204183699159,0.12747619758650186,0.9241897621517657,0.21960902693551546,0.24886418209393255,0.1729587066349724,0.22922166433772276,0.8289702301074814,0.8338293878795734,0.12940260176684154,0.3138495164286329,0.20254076779957234,0.030749021977966667,-0.6110012967399209,0.2437742981778479,-0.24475536582315374,0.15738468929788776,0.8863439411162217,-0.052869815406376544,0.8308852509226325,-0.06756495274535337,0.0870118334220457,0.858075529408419,0.06235005034122708,0.2015690401986504,0.7885379384953487,0.08817481718826452,0.8509643291270373,0.8748013881957741,-0.025693661438885983,0.01732615201936152,0.7692235206208987,0.8989946634621003,0.8478389922911657,-0.8190801530682393,0.14598167322380615,0.8021086755747914,-0.19303474363437345,-0.7917086763261351,-0.8210799703177485,0.20077848904456283,-0.42721518197939307,-0.36187804490270103,0.6704812868160606,0.10030033726059938,0.2112694118651748,0.19631757758205087,-0.40799784789561533,0.8073241885238787,0.18817158757774002,-0.8025963167649169,0.21845604492936654,0.112443810623334,0.7905740629244055,-0.34075875956092433,-0.8450781072136626,0.9152138189364313,0.9139119072165387,-0.8797629445989924,0.7332063448396254,0.009548885688517859,0.9345213768070889,0.30030353269934107,0.16638961729440926,-0.8491497489813,0.7129287348666403,0.27656103896283124,-0.00024754373533798313,-0.8673815324487736,-0.43776003589096935,-0.6232609041591305,0.9183066148375143,0.7462894063289542,0.037286163071077946,-0.8401887572535842,-0.8324288088767883,0.7138498540125199,-0.7882161725555455
L0H4,-0.17548630162615023,0.18735905212168474,0.3478363062082408,0.8462897951980608,0.9999999999999998,0.23660863341732402,0.8157223867450808,0.34081048110217554,0.2458961311423445,0.12901474212885494,0.22532827072635872,0.1695942015608417,-0.2124901301715149,0.11960889397336476,0.2670395464157686,0.020169345337679813,0.28126163444357793,0.1604648652628925,0.28055862777475543,0.17116469717625088,0.1737909239539385,0.21326538259637007,0.852112337093612,0.17938353125055348,0.21005667835063746,0.012383532192225042,0.28389180715542084,0.8520396381745864,0.2501185597281031,0.0740054588762927,-0.08360267469464058,0.2203543846874415,0.11439924953024685,0.15503495496635497,-0.4715646808688732,0.13677004995130926,0.6411251624625598,0.07970808984730618,0.19733793892794738,0.16757235173319607,0.23019189642839788,0.09500573686462005,0.20277960174379775,0.8500709464274884,0.27737282824664217,-0.14373619339958021,0.11314231709687532,0.10917177647980135,-0.39311729018061525,0.7064019360719264,0.21921378129252725,0.21213736795671104,0.7242163445176469,0.055037670546948955,0.07819023144917965,0.15099055684241858,0.7406171365928783,0.2651873571254771,0.7989562305958436,0.04555222589935614,-0.2507384310405571,0.8289878047238777,0.7963649516862292,0.7994169463810283,0.814138964176767,0.16460844075728917,0.7312344269865189,0.12036397517502921,0.82516071199827,0.28679510995402696,0.03956777339084709,0.3285974845770965,0.17402456371630662,0.8631441177851291,0.8445952307598003,0.1578866792048763,0.12571673652044624,0.3645912069517404,0.10643162403979729,-0.6107996720333125,0.04071286133548642,-0.09142630003732366,0.12106531160871761,0.784670417597951,0.12247180852559077,0.7950564937283423,-0.11500123772890912,0.06899539195264803,0.7607952743836072,0.11518558449761619,0.0994357334935804,0.8154273675944215,0.35515394291135166,0.8021071531205857,0.8216518492322921,0.1593232064285895,0.2340479561158321,0.5817812733179059,0.816516294503805,0.8707051584568278,-0.7725912773855428,0.3132549570304073,0.811443869407956,-0.011918651162782205,-0.7223816027755283,-0.7344428225499752,0.23927457799916804,-0.44944212718512416,-0.35556530708054396,0.6876857567629143,0.05195361459500198,0.4206327803830582,0.293375002848271,-0.304005933837446,0.7425253200990033,0.2546803964141943,-0.7346090112314347,0.07627734137408003,0.1982253521042559,0.6385747614075525,-0.22592881869013898,-0.7452567253698604,0.8698365956298375,0.7531381365354738,-0.8209171363791328,0.48811465290541795,0.10059442506600294,0.8393965709153769,0.13639878277421982,0.2815297831651981,-0.687186004615652,0.6974803229641511,0.13811279823493627,-0.18073257202005436,-0.7254229067994891,-0.3471031396872239,-0.5366128118176662,0.854517571258336,0.5626116860033977,0.03460121948550158,-0.7226614824111914,-0.6361091705790987,0.4843046515377914,-0.7772520061430895
L0H5,0.5287334939404976,0.5054094116563995,0.1685879749244059,0.15061419263949596,0.23660863341732405,1.0,0.10959584147087477,0.06872905762903521,0.5352788437428382,0.30583308022157746,0.32192131837836674,0.15598654632615686,0.47112212288488414,0.616219223543067,0.026866293271751707,0.3051120091596211,0.4794121081588844,0.22321109483689722,0.03750477392448028,0.5396453284609024,0.06878895571563282,0.07626230356454235,0.30989923167881483,0.15076053511339269,0.2639482330585454,0.2728339993498623,0.3163204566924827,0.1232561810766431,0.41297975994370434,0.15720615853938127,-0.18988996749898834,0.46967954332354916,0.2955893329469554,0.09549783523807544,0.2431152059845911,0.3294785006589821,0.24932271908062895,0.38802568204938376,0.1877734733585235,0.558907263115025,0.18685885835084953,0.2671347024640045,0.49666392450069624,0.16664189718779185,0.11070066545072652,0.439597926735778,0.1147110957939532,0.11954703479165278,0.10570505288169292,0.15209100766146305,0.08119099086657391,0.079150535937022,0.1323690586639193,0.33421718087799085,-0.0021703035131136724,0.31429031294502935,-0.004858165471754408,0.1991159921746967,0.07468180165633888,0.16859380170463842,0.4025841781380845,0.1614432776077382,0.06722115796772142,0.1935062859893594,0.1462900764128066,0.10817540406358225,0.1647813007724212,0.12412434506780742,0.18734442522876546,0.14561198077482895,0.23501103641587764,0.45328739117885625,0.07401113042471914,0.22693270557335482,0.18233927956488352,0.09808716069318346,0.20756788580161697,0.60722531501528,0.24637275503523987,0.019766805165231927,0.3017058874870511,0.22158958737875914,0.14202273816435512,0.18887219626099114,0.22784148023948841,0.12831292690794094,0.2061080731942101,0.18157899389513377,0.13373326457181975,-0.17973682366760618,-0.028253558125326216,0.15419272871247758,0.1204349923331026,0.14300355992013145,0.14045011976984834,0.051201987205281706,0.28756871514929566,-0.005783341053347941,0.08044663897938403,0.029387368331450194,-0.023579983851991698,0.49384426157875067,0.16228583629576734,0.20100148618747746,0.15139453533562405,0.02321114756772464,0.23760502891700072,0.18639751856477607,0.3131428609302899,0.17991105758912182,-0.09978683575038451,0.3995842881735639,0.22749669489132565,0.15293226805421195,0.08559436335349986,0.3799073162572559,-0.024295883200629715,0.2915657147623414,0.24734903178830558,-0.09242520793890324,0.10728441333138979,0.03784274246205943,0.23060691713525877,0.1180394246861672,-0.061141837198758514,-0.11242651254426275,0.3324682283611651,0.10561012383835973,0.3486651844018231,0.12296225560358492,0.0948610264634671,0.014044269152880092,0.18827850019350625,-0.13463012428039853,0.10164766438773937,0.005115819356454615,0.07081175223337263,0.07208461743438635,0.10254761378067156,0.03273788481507683,0.09641744714666486,0.03308527729779637,-0.12952185092010585,0.07815189116652664
L0H6,-0.21500704399406262,0.15432862604692726,0.22018765361702702,0.7886255720590901,0.8157223867450809,0.10959584147087477,1.0,0.10019115447106308,0.11240537882216774,0.18615515324576512,0.24972163050376683,-0.037364223204350934,-0.32849328392822585,0.10207257626017197,0.24663103016697074,0.11855358109415033,0.06387421044846113,-0.006103925708622089,0.4025505193207324,0.16440122050753106,0.17336539721738015,0.291442172104855,0.7245333652858482,0.2834360941363365,0.13737407095901696,-0.08754953039472503,0.12775553833612954,0.7648689653444628,0.2973310024911942,-0.15630586115255413,0.1979477352431077,0.2197274022123037,0.11246957580924478,0.02945858408819308,-0.5132664531284638,0.13799482583454245,0.6068783318982514,-0.13411812866887868,0.17572877128939665,0.15218487354267732,0.2072561962609904,0.04019110594491302,0.17731899854879898,0.781113437904227,0.07827515023441636,-0.2084550006086803,-0.034624321569925946,0.06426479696572798,-0.4644136909437917,0.7298139353645936,0.09113490188598021,0.1973196551007148,0.6230086667119343,-0.03661128985135517,0.12259953122197666,-0.17443027019734478,0.7436804370925921,0.27743454914114624,0.8444028488787936,-0.13565405705499564,-0.4191309981382452,0.7524766569179923,0.6540633552720704,0.7196801593413982,0.8031015988186841,0.0639983032112386,0.7354919375829908,0.22307497522799488,0.7717766114694056,0.11393852184193204,0.12863957670142667,0.12004275501318623,0.16103703288911408,0.7533263400824699,0.64577448637106,0.2630137208353761,0.08710634777623809,0.24281249914348252,0.25161587780535805,-0.5940217974446533,-0.08459375621812239,-0.09005388339310619,0.09421136664271393,0.8213465528617399,0.1435685929558904,0.7697932237242591,-0.007187824919703701,0.03600205489060381,0.6793386396252723,-0.07021586082561344,0.1391245634001054,0.8180856965495245,0.25168931712255654,0.6907640373858189,0.7881993661405798,0.21617205592758557,0.09033097059893194,0.6735588974714798,0.8088327144000607,0.7794609583323985,-0.7859572715051502,0.16260629227847292,0.7177260841901342,0.08254326353814309,-0.6906285432622216,-0.7241270447387029,0.09069108031108535,-0.4571218949419959,-0.3666894671513421,0.5581847371371408,0.1834015986845672,0.2215664892350466,0.19556269108074872,-0.24468970732378004,0.7755464695226313,0.09710722899794397,-0.6910813817497348,0.14933997667995572,-0.013098291573202513,0.7647878713440494,-0.17533736374957878,-0.7112651714994989,0.7524022302165951,0.7618715878510351,-0.7260624614301097,0.6188546087904914,0.023318540245796972,0.7745566928283328,0.1434948704504661,0.3057596757176155,-0.7252553669680981,0.5341183269451093,0.12285772127212936,0.016361897718531377,-0.7355225075244508,-0.2823402078636228,-0.3790778392756648,0.7672456212738368,0.5789233592429928,0.10774857295523244,-0.7118964851209929,-0.6670741898355146,0.6054033133720248,-0.6847656985515883
L0H7,0.4478537776459259,-0.0921656550788115,0.16171733766001453,0.08519882512768864,0.34081048110217554,0.06872905762903521,0.10019115447106307,0.9999999999999998,0.01358294284538026,0.12142489044799808,0.17533085258386463,0.5061747178991455,0.0402668991910252,-0.17277103822429601,0.3619212256707569,-0.14094994806447592,0.427619037743828,0.05039429840171536,0.05730107625423977,-0.09325681919045331,-0.09678234845208221,0.22214191960117166,0.05760822158688188,0.07275410348488669,0.1843828591165231,0.20655791164867174,0.3491647811648444,0.29709056026975145,-0.039427252491950046,0.272003109609958,-0.17101176727679415,0.28342840303980377,0.2501003150546118,0.36737549908251593,0.0206911933715579,0.06635089662973262,-0.063699371386072,-0.049422966605051674,0.1969338676380525,-0.2638458129947096,0.08436380531950345,-0.27387204424459355,-0.15147194317438134,0.15023819651674192,0.2083657021776693,-0.030144614975380447,0.22966087826532344,-0.06248848695804017,0.10772449799494141,-0.09385886155116344,0.06711968824123404,0.12772172195674986,0.14012668816312113,0.05866280790578139,0.017172080984838165,0.638788792424713,0.09870727131831318,0.14035763582677516,0.11858252382283481,0.1527397896770867,0.0037836309237418773,0.2352476381078213,0.08151578356412464,0.1503973310747541,0.03599005711866746,0.39522715165273115,0.10309422596526334,-0.13874546685726,0.10972102317838837,0.2854590372750496,-0.15723709940775274,0.5138009059410237,0.07976220106785457,0.1682754634839665,0.16322772863959634,-0.15427726904547687,-0.27566308763672936,0.3065904508852295,-0.09177775932276423,-0.1080726279964702,0.1534197480037853,0.13904954147908988,-0.1054548669429925,0.014144590926522933,-0.061898079937502994,0.0651024086749269,-0.2792752777737322,0.024163851212161035,0.12219276247729395,0.14933340996229447,-0.114031220460394,0.05820243618407447,0.23535167277068675,0.16233754812199333,0.19235860643055833,-0.07864184991687174,0.14448242651533907,0.03554098760062292,0.1433984770535061,0.3628277384722067,-0.08440183154292223,0.06423110668670844,0.06402607313343239,0.38670758252628246,-0.1537680455822019,-0.042274060384962765,0.20931471701912951,-0.2765819951991502,-0.2425993959721875,0.1607655517252777,0.019948329338643638,0.1648202348290098,0.18555967616511237,0.2515663823416507,-0.030733096161578304,-0.027491433888741146,0.0156733927701056,-0.2568304484607489,-0.12363203963830485,0.05289521969707265,0.25627703776953975,-0.054625736401807436,0.23473927333810166,0.02182058451959767,-0.1271493953212923,-0.16555194687297733,0.12214224222566794,0.025602324146719615,0.12054537270662306,0.3811196597722995,0.040939390172033706,0.08723511214063674,0.05721509782030883,0.10998383404995295,0.03926958749014979,0.12390012962841095,0.05073794467339594,0.0668666324751637,-0.036288753201452535,-0.007509227504119429,0.051870061531321426,0.14590453202089645,-0.10790529058293935,-0.08191053092066043
L0H8,0.2011852459467376,0.542739133575532,0.21883786775232947,0.29428858235080874,0.24589613114234452,0.5352788437428382,0.11240537882216774,0.01358294284538026,1.0,0.5524285899803248,0.5218457856790703,0.15151599660149304,0.5117493949473765,0.5541733389922099,0.24436938784423354,0.45325929460816844,0.43432934467172524,0.5170570062678178,0.03307173782150358,0.6031578232462244,0.16435441488697553,0.06674898733156247,0.33997535179381894,0.05223490648859261,0.5527831221041123,0.10688351226114588,0.5659909263274924,0.14909503727027137,0.33783630405097054,0.15360615105116712,0.30992675145013754,0.5862654247971076,0.20632171911300687,0.4113344297788765,0.46106449367518,0.25641500065059986,0.600823636028583,0.07746816343028087,0.11282906996911099,0.6218567536156415,0.0805136519912286,0.2756751874883244,0.2273114817712347,0.26851459447274084,0.483264261377529,0.5886059100980043,0.30621479823578374,0.08348728800142327,0.3290306188052544,0.34826784872082306,0.17155656253076815,0.1363315717346345,0.3177099306370314,0.4070030009303722,-0.07279428553612899,0.4475139852076478,0.04354295812012562,0.18530210152027723,0.07813204064218279,0.10802921731842707,0.3212772418456856,0.1505411324944058,0.21538946219379687,0.38666810117576245,0.2858155606618801,-0.020741746734851442,0.18943768287822074,0.10824452343340867,0.31470103915753156,0.3115813762538268,0.49100804048605035,0.3467697221374728,0.205043133115994,0.18477656948618051,0.39765554345717696,-0.01311968526248677,0.7016602959534354,0.6207215694664351,-0.0014859030786687683,0.22809575815175928,0.22220734823710372,-0.02152437448642744,0.3774335931146565,0.11820713976273325,0.07526224509007508,0.34201284864350273,0.060863886854346405,0.4125924208395652,0.23454996987257562,-0.07703632431405096,0.2638370919587545,0.11720642530279057,0.19748636967806218,0.06624598154737062,0.2383305257849134,-0.011738285236139399,0.031411345446371614,0.16906607648617528,0.05721793862195295,0.15827355414097927,0.10749663593002205,0.5346274268717185,0.09231825971825765,0.11473303182683933,0.12381720698210069,-0.018491731222707815,0.5104932769399436,0.274556797676386,0.34328929864953117,0.17213185234205675,0.2506482131993473,0.5771892532860006,0.3251947680148442,0.22203461696656454,0.039198442832168424,0.5108835071563487,0.04644797063416021,0.7548052470734874,0.44019961053755907,-0.06445233514155373,0.3608846772409425,0.048127963852175576,0.29000504321710496,0.18052267309383133,-0.07259805123246478,0.24095002709637145,0.26117302777072854,0.19301280692921882,0.7366815029144295,0.1576529018584746,0.06291885439709366,-0.002117416306744005,0.30196649884283294,0.10799460617774458,0.07986787582671508,0.3253757516593412,0.13349959668841635,0.1501645317151726,0.41546503236401355,-0.05445324769365652,0.1027615699512411,0.0612773230111888,0.32454917630156077,0.1505516591552318
L0H9,0.270118544970329,0.4763965802742432,0.300312984475188,0.17002094832659986,0.12901474212885494,0.30583308022157746,0.18615515324576512,0.12142489044799806,0.5524285899803248,1.0,0.6985880180275711,0.44909552222705845,0.26477735899818367,0.6655849885829155,0.4408574850844614,0.6146011785742941,0.29791465858860544,0.40827215225039515,0.3572815252226355,0.2988597286095714,-0.019072457830036717,0.3710307959306611,0.10122313417801196,0.29651103632761894,0.6238920944977687,-0.08445245640109118,0.5535888168681489,0.12121000300639075,0.43460986934622803,0.06653318830204906,0.4229548304999749,0.6468446233936296,0.44169620878228266,0.6796656804925851,0.38240277159892294,-0.025406341913864434,0.346558818999854,0.21884585966455627,0.5054692286602486,0.383006491745126,0.26186398723196463,0.3934770607534501,0.22390457791460291,0.260559787573593,0.27331521906890244,0.5899408263511632,0.11446131452946756,0.37544194187914487,0.25928523120984454,0.199157685260029,0.0016152146759478227,0.24793686130911397,-0.012513080223518835,0.5497897478963978,-0.11037664201158098,0.37993322210003183,-0.08885437423594532,0.45455260038947287,0.1711021344776773,0.3043963305753284,-0.005236964023296533,0.07474925309832091,0.18296898447846438,0.31301518467576817,0.3446768040311904,0.19865605255229807,0.13667672093476357,0.11419078447318534,0.30187281570182417,0.24815753957112105,0.5181586898822443,0.33821066965534,0.4025897122339164,0.1545543574703562,0.22418698940817142,0.07190239540774973,0.6263985412778063,0.5689388118982632,0.16869545219748835,0.3365322111304183,0.2540195374660759,0.21118592326504407,0.45048016902766475,0.03564109741250266,0.5063648230928713,0.43709251547223776,0.43554633458490044,0.6220631940653408,0.1511655699449419,0.2359915143628321,0.48150769370994406,-0.004215852853457013,0.41969498723206733,0.11371181614935318,0.43040687356535146,-0.013955541660509049,0.15245203986093334,0.1859899762505817,0.04223543486907018,0.1808051870770775,0.10505137644980156,0.3276057925770035,0.09253516760022665,0.508985019112178,0.18759151954671408,0.1818390316196804,0.3931841585859755,0.3032927690489809,0.4504770994536152,-0.08637634672438549,-0.06247225419606344,0.07376423160600155,0.02940082309772873,0.10220757874866657,0.08574713987473644,0.41707392954216554,0.019073309436725323,0.6808402093737658,-0.15485874745693992,0.1640303030278082,0.2825142326772104,0.19971342402418324,0.32835776771243447,-0.049627086400303784,0.0719870822286368,0.1934133742467413,0.6524783084910079,0.05623931335433446,0.5192186464783548,0.18005519997638808,0.03406850970343012,0.06929818574025103,0.662334966885511,0.15101124394013593,0.1155376058350702,0.24024266864419838,0.08540769089893731,0.08645144823644779,0.014605121609992939,0.1770087220546115,0.1870577696461577,0.1269787599383755,0.2257145604478367,0.10949210180340734
