head_a_layer,head_a_head,head_b_layer,head_b_head,correlation
11,2,11,8,0.9895553111573102
10,1,10,4,0.9775603358468251
10,1,11,8,0.9759721251008459
11,8,11,9,0.970857156740008
11,2,11,9,0.9699134587132225
10,1,11,2,0.9650865723809747
9,8,11,11,0.9649194001997904
8,9,10,1,0.959945373766345
10,1,11,9,0.9526035102511216
10,4,11,8,0.9489531262030126
10,10,11,2,0.9481344279818886
8,9,10,4,0.9467902973676712
11,8,11,11,0.9400219693734995
10,4,11,2,0.9378035304532076
8,9,11,8,0.9355015302353007
0,3,10,7,0.9345213768070889
8,8,10,1,0.9341492969658814
11,2,11,11,0.9332455982795534
8,9,11,9,0.9331460568690094
10,10,11,8,0.932833637505607
3,7,5,4,0.9320037558083196
8,9,11,2,0.9319381693445309
5,1,8,2,0.9299084372591814
5,1,6,11,0.9283926659387463
9,8,10,10,0.9266122958155472
10,10,11,9,0.9255519419403547
0,3,5,8,0.9241897621517657
10,4,11,11,0.9234024209042422
10,1,11,11,0.9229030984952669
10,4,11,9,0.9211381643316526
10,10,11,11,0.9189202923377632
0,3,11,5,0.9183066148375143
0,3,3,7,0.9176946415219602
8,4,11,2,0.9174613900865985
0,3,4,1,0.917460390992206
4,8,10,3,0.917204497064104
4,8,8,2,0.9172043055918776
9,8,11,2,0.9167960483339391
0,3,10,2,0.9152138189364313
10,1,10,10,0.9152067717432414
8,8,11,8,0.9150412683489326
9,8,11,8,0.9141953517112964
0,3,10,3,0.9139119072165387
4,4,10,3,0.9106083135709425
8,4,8,9,0.9085238198600084
8,4,11,8,0.9078948323201702
0,3,5,1,0.9061724163126197
5,6,8,2,0.9045539339840658
8,8,11,2,0.9037826932192259
0,3,5,3,0.9034247233419666
10,7,11,5,0.9034057348872637
5,4,7,10,0.9017616884199795
10,2,10,7,0.9010520679424533
0,3,8,2,0.8989946634621003
3,7,5,3,0.8984300584646264
6,11,10,7,0.898119986806709
2,3,3,7,0.8980744252169118
8,8,10,4,0.8975937313484108
5,3,5,4,0.8973103420542172
6,11,10,3,0.8968973674267081
4,1,8,2,0.8960161681902847
0,3,5,2,0.8955969095403994
3,7,7,1,0.8954782162614163
8,4,10,4,0.8940652044874916
4,10,8,2,0.8939331661774141
10,4,10,10,0.8938707782502789
5,3,7,10,0.8932424720930288
8,4,10,1,0.8931502007718497
11,9,11,11,0.8920725967457993
6,7,10,1,0.8918312320899155
0,3,5,4,0.8915499006589882
7,1,7,10,0.8903762726214147
9,8,11,9,0.889254504068703
8,4,11,11,0.8887510340432216
9,5,11,4,0.8885421718387138
8,2,11,5,0.8881828259310646
10,0,11,3,0.8871586253919743
0,3,6,11,0.8863439411162217
9,8,10,4,0.8861063323361775
5,8,7,10,0.8856234781795193
6,11,8,2,0.8854172919607846
5,1,10,7,0.8849287176924063
10,11,11,5,0.8826865530169514
5,8,10,2,0.8826268261381169
5,3,7,9,0.8824389173672865
9,8,10,1,0.8804915779422297
5,3,11,5,0.8793603403560386
4,1,5,3,0.8787130642879246
8,2,9,6,0.8778682865741139
4,1,5,1,0.877516629983042
5,4,5,8,0.8763259556785982
6,1,8,2,0.8753550613772347
7,7,8,6,0.8748174596502581
0,3,7,10,0.8748013881957741
5,4,7,1,0.87455089577023
5,2,10,7,0.8745068026232109
4,1,5,6,0.8737507444133086
5,4,11,5,0.8729805926556856
7,9,11,5,0.8725320301304903
8,3,10,2,0.8721906997020916
8,4,9,8,0.8718472437742034
3,7,7,10,0.8718234786253998
10,2,11,5,0.8717104173083104
