layer,head,rank,emotion,f1_drop
0,0,1,annoyance,0.01829100156254787
0,0,2,embarrassment,0.012307692307692297
0,0,3,sadness,0.006163828061638288
0,1,1,fear,0.015868673050615678
0,1,2,sadness,0.006163828061638288
0,1,3,optimism,0.005086705202312247
0,2,1,admiration,0.008580464443842084
0,2,2,love,0.00836236933797907
0,2,3,joy,0.007984031936127733
0,3,1,fear,0.032115171650055396
0,3,2,disgust,0.018018018018017945
0,3,3,approval,0.013683216460045444
0,4,1,annoyance,0.01829100156254787
0,4,2,caring,0.0121848739495799
0,4,3,sadness,0.010412194074710168
0,5,1,disgust,0.018018018018017945
0,5,2,optimism,0.011428571428571455
0,5,3,excitement,0.01097560975609757
0,6,1,surprise,0.025974025974025983
0,6,2,sadness,0.010412194074710168
0,6,3,curiosity,0.009285832727458199
0,7,1,annoyance,0.016579259008628
0,7,2,caring,0.0121848739495799
0,7,3,curiosity,0.007117437722419906
0,8,1,fear,0.05592469545957923
0,8,2,annoyance,0.02448439734854896
0,8,3,realization,0.015444015444015413
0,9,1,fear,0.032115171650055396
0,9,2,annoyance,0.013861867704280162
0,9,3,surprise,0.010822510822510845
0,10,1,annoyance,0.01829100156254787
0,10,2,fear,0.015868673050615678
0,10,3,approval,0.010861318532124797
0,11,1,annoyance,0.01829100156254787
0,11,2,joy,0.008130081300812941
0,11,3,admiration,0.003353274331155842
1,0,1,fear,0.015868673050615678
1,0,2,embarrassment,0.012307692307692297
1,0,3,sadness,0.010412194074710168
1,1,1,fear,0.015868673050615678
1,1,2,disgust,0.013104013104013101
1,1,3,surprise,0.004264392324093813
1,2,1,fear,0.015868673050615678
1,2,2,sadness,0.014598540145985384
1,2,3,caring,0.0121848739495799
1,3,1,fear,0.015868673050615678
1,3,2,amusement,0.006968641114982632
1,3,3,disgust,0.004987129987129912
1,4,1,annoyance,0.03238953568846986
1,4,2,joy,0.008130081300812941
1,4,3,gratitude,0.005390835579514919
1,5,1,fear,0.015868673050615678
1,5,2,approval,0.006309148264984299
1,5,3,sadness,0.006163828061638288
1,6,1,surprise,0.015037593984962405
1,6,2,caring,0.007627118644067843
1,6,3,annoyance,0.006049367704280162
1,7,1,sadness,0.01872421453506823
1,7,2,fear,0.015868673050615678
1,7,3,realization,0.012987012987012991
1,8,1,sadness,0.006163828061638288
1,8,2,approval,0.004532204608074131
1,8,3,love,0.0013448254783300362
1,9,1,annoyance,0.007782101167315203
1,9,2,curiosity,0.007117437722419906
1,9,3,joy,0.004016064257028051
1,10,1,realization,0.015444015444015413
1,10,2,surprise,0.010822510822510845
1,10,3,annoyance,0.007782101167315203
1,11,1,disgust,0.013104013104013101
1,11,2,approval,0.00909318511842172
1,11,3,amusement,0.006968641114982632
2,0,1,fear,0.024656766601288904
2,0,2,optimism,0.009438202247191052
2,0,3,caring,0.007627118644067843
2,1,1,realization,0.01785714285714285
2,1,2,annoyance,0.012146181429770364
2,1,3,approval,0.007313789708453089
2,2,1,fear,0.015868673050615678
2,2,2,annoyance,0.013861867704280162
2,2,3,sadness,0.008402037494092296
2,3,1,annoyance,0.012146181429770364
2,3,2,approval,0.007313789708453089
2,3,3,curiosity,0.007117437722419906
2,4,1,surprise,0.010822510822510845
2,4,2,annoyance,0.007782101167315203
2,4,3,approval,0.004532204608074131
2,5,1,approval,0.007313789708453089
2,5,2,annoyance,0.006049367704280162
2,5,3,excitement,0.005555555555555591
2,6,1,disappointment,0.01661129568106312
2,6,2,fear,0.015868673050615678
2,6,3,joy,0.012121212121212088
2,7,1,fear,0.015868673050615678
2,7,2,annoyance,0.012146181429770364
2,7,3,curiosity,0.009285832727458199
2,8,1,annoyance,0.012146181429770364
2,8,2,disgust,0.004987129987129912
2,8,3,admiration,0.00379506641366234
2,9,1,fear,0.024656766601288904
2,9,2,caring,0.01666666666666672
2,9,3,optimism,0.014545454545454639
2,10,1,embarrassment,0.07
2,10,2,fear,0.03939808481532148
2,10,3,realization,0.015444015444015413
2,11,1,sadness,0.014598540145985384
2,11,2,realization,0.012987012987012991
2,11,3,annoyance,0.006049367704280162
3,0,1,fear,0.048753152143457545
3,0,2,realization,0.03116883116883118
3,0,3,surprise,0.015037593984962405
3,1,1,approval,0.00909318511842172
3,1,2,sadness,0.006163828061638288
3,1,3,admiration,0.0023809352024877217
3,2,1,approval,0.012618296529968487
3,2,2,annoyance,0.012146181429770364
3,2,3,admiration,0.004770940634318266
3,3,1,sadness,0.020978642876453013
3,3,2,fear,0.015868673050615678
3,3,3,approval,0.010861318532124797
3,4,1,excitement,0.005555555555555591
3,4,2,disgust,0.004987129987129912
3,4,3,approval,0.004532204608074131
3,5,1,optimism,0.017627118644067852
3,5,2,sadness,0.010412194074710168
3,5,3,joy,0.008130081300812941
3,6,1,sadness,0.01872421453506823
3,6,2,approval,0.006309148264984299
3,6,3,admiration,0.006183216571309047
3,7,1,fear,0.015868673050615678
3,7,2,approval,0.010131036156272755
3,7,3,excitement,0.005555555555555591
3,8,1,approval,0.018302577075417492
3,8,2,fear,0.015868673050615678
3,8,3,annoyance,0.013861867704280162
3,9,1,fear,0.015868673050615678
3,9,2,annoyance,0.013861867704280162
3,9,3,embarrassment,0.012307692307692297
3,10,1,realization,0.015444015444015413
3,10,2,annoyance,0.013861867704280162
3,10,3,optimism,0.011428571428571455
3,11,1,joy,0.012121212121212088
3,11,2,confusion,0.011109864212770715
3,11,3,excitement,0.005555555555555591
4,0,1,embarrassment,0.07
4,0,2,annoyance,0.027832455939574285
4,0,3,fear,0.023255813953488413
4,1,1,fear,0.015868673050615678
4,1,2,sadness,0.004231460911879759
4,1,3,disappointment,0.0034750066827051174
4,2,1,realization,0.015444015444015413
4,2,2,approval,0.00909318511842172
4,2,3,amusement,0.005251018304951671
4,3,1,approval,0.011189039641460674
4,3,2,curiosity,0.009285832727458199
4,3,3,anger,0.005877167205406986
4,4,1,realization,0.03116883116883118
4,4,2,fear,0.015868673050615678
4,4,3,annoyance,0.012146181429770364
4,5,1,fear,0.015868673050615678
4,5,2,embarrassment,0.012307692307692297
4,5,3,approval,0.006533021267935313
4,6,1,sadness,0.020978642876453013
4,6,2,disappointment,0.019972640218878235
4,6,3,annoyance,0.013861867704280162
4,7,1,annoyance,0.027832455939574285
4,7,2,caring,0.01666666666666672
4,7,3,embarrassment,0.012307692307692297
4,8,1,realization,0.012987012987012991
4,8,2,caring,0.007627118644067843
4,8,3,disapproval,0.007246376811594235
4,9,1,joy,0.012121212121212088
4,9,2,surprise,0.010822510822510845
4,9,3,approval,0.008074916175624502
4,10,1,surprise,0.015037593984962405
4,10,2,annoyance,0.007782101167315203
4,10,3,excitement,0.005555555555555591
4,11,1,amusement,0.004069101630077232
4,11,2,joy,0.004016064257028051
4,11,3,remorse,0.0
5,0,1,realization,0.015444015444015413
5,0,2,embarrassment,0.012307692307692297
5,0,3,annoyance,0.010416985814516388
5,1,1,annoyance,0.012146181429770364
5,1,2,sadness,0.010412194074710168
5,1,3,anger,0.005877167205406986
5,2,1,joy,0.012121212121212088
5,2,2,fear,0.007484629778134244
5,2,3,amusement,0.006968641114982632
5,3,1,fear,0.023255813953488413
5,3,2,approval,0.0158752919005285
5,3,3,annoyance,0.010416985814516388
5,4,1,fear,0.015868673050615678
5,4,2,surprise,0.010822510822510845
5,4,3,optimism,0.006327683615819257
5,5,1,caring,0.0121848739495799
5,5,2,confusion,0.011439154592003398
5,5,3,curiosity,0.008974160606529447
5,6,1,confusion,0.011109864212770715
5,6,2,annoyance,0.009501402588001084
5,6,3,optimism,0.009438202247191052
5,7,1,realization,0.015444015444015413
5,7,2,approval,0.015442391467628047
5,7,3,disappointment,0.013168954889324735
5,8,1,fear,0.015868673050615678
5,8,2,surprise,0.010822510822510845
5,8,3,sadness,0.010412194074710168
5,9,1,caring,0.01666666666666672
5,9,2,realization,0.015444015444015413
5,9,3,fear,0.007484629778134244
5,10,1,fear,0.032115171650055396
5,10,2,disappointment,0.01661129568106312
5,10,3,realization,0.010484927916120546
5,11,1,annoyance,0.016579259008628
5,11,2,optimism,0.009438202247191052
5,11,3,approval,0.003560020964567978
6,0,1,caring,0.00901639344262295
6,0,2,sadness,0.008402037494092296
6,0,3,fear,0.007484629778134244
6,1,1,love,0.006968641114982632
6,1,2,amusement,0.006968641114982632
6,1,3,disgust,0.004987129987129912
6,2,1,fear,0.015868673050615678
6,2,2,joy,0.008130081300812941
6,2,3,annoyance,0.007782101167315203
6,3,1,sadness,0.010412194074710168
6,3,2,excitement,0.005555555555555591
6,3,3,amusement,0.005251018304951671
6,4,1,fear,0.04140669313669887
6,4,2,approval,0.016541292566529142
6,4,3,surprise,0.010822510822510845
6,5,1,annoyance,0.03238953568846986
6,5,2,fear,0.032115171650055396
6,5,3,disgust,0.022844272844272817
6,6,1,curiosity,0.011769191662430067
6,6,2,sadness,0.010412194074710168
6,6,3,amusement,0.009848044909020581
6,7,1,embarrassment,0.07
6,7,2,fear,0.032115171650055396
6,7,3,disappointment,0.01661129568106312
6,8,1,fear,0.015868673050615678
6,8,2,disgust,0.013104013104013101
6,8,3,caring,0.0121848739495799
6,9,1,embarrassment,0.012307692307692297
6,9,2,caring,0.00901639344262295
6,9,3,annoyance,0.007782101167315203
6,10,1,joy,0.029166666666666674
6,10,2,fear,0.015868673050615678
6,10,3,curiosity,0.006784607900867878
6,11,1,sadness,0.014598540145985384
6,11,2,realization,0.012987012987012991
6,11,3,admiration,0.007170068224285564
7,0,1,surprise,0.01758241758241752
7,0,2,sadness,0.010412194074710168
7,0,3,disgust,0.004987129987129912
7,1,1,fear,0.032115171650055396
7,1,2,approval,0.012984634171161136
7,1,3,caring,0.0121848739495799
7,2,1,amusement,0.004069101630077232
7,2,2,admiration,0.001415962279339933
7,2,3,surprise,0.0
7,3,1,fear,0.04140669313669887
7,3,2,sadness,0.010412194074710168
7,3,3,optimism,0.008275862068965578
7,4,1,sadness,0.020978642876453013
7,4,2,fear,0.015868673050615678
7,4,3,caring,0.0121848739495799
7,5,1,optimism,0.02913580246913583
7,5,2,love,0.02071758169319149
7,5,3,caring,0.020085470085470125
7,6,1,fear,0.015868673050615678
7,6,2,joy,0.008130081300812941
7,6,3,sadness,0.006163828061638288
7,7,1,sadness,0.010412194074710168
7,7,2,excitement,0.005555555555555591
7,7,3,curiosity,0.0024986749451048063
7,8,1,confusion,0.015141682889898256
7,8,2,sadness,0.012513034410844615
7,8,3,joy,0.012345679012345623
7,9,1,approval,0.018302577075417492
7,9,2,admiration,0.005754278520141876
7,9,3,disgust,0.004987129987129912
7,10,1,fear,0.015868673050615678
7,10,2,caring,0.0121848739495799
7,10,3,surprise,0.010822510822510845
7,11,1,sadness,0.010412194074710168
7,11,2,admiration,0.00379506641366234
7,11,3,disappointment,0.0034750066827051174
8,0,1,sadness,0.014598540145985384
8,0,2,approval,0.008337813301956709
8,0,3,optimism,0.008275862068965578
8,1,1,realization,0.028833551769331556
8,1,2,disappointment,0.02646351242983158
8,1,3,surprise,0.015037593984962405
8,2,1,annoyance,0.006049367704280162
8,2,2,excitement,0.005555555555555591
8,2,3,amusement,0.005251018304951671
8,3,1,annoyance,0.02108298324212876
8,3,2,joy,0.008130081300812941
8,3,3,caring,0.007627118644067843
8,4,1,embarrassment,0.14608695652173914
8,4,2,fear,0.032115171650055396
8,4,3,confusion,0.02238805970149249
8,5,1,sadness,0.016777426734938428
8,5,2,fear,0.015868673050615678
8,5,3,love,0.00836236933797907
8,6,1,amusement,0.020352457263613344
8,6,2,sadness,0.010412194074710168
8,6,3,approval,0.008074916175624502
8,7,1,annoyance,0.026165017310579353
8,7,2,curiosity,0.018494947658258987
8,7,3,embarrassment,0.012307692307692297
8,8,1,embarrassment,0.14608695652173914
8,8,2,disgust,0.03519407257725016
8,8,3,anger,0.03089280197713934
8,9,1,embarrassment,0.2290909090909091
8,9,2,fear,0.032115171650055396
8,9,3,disappointment,0.030720643123743896
8,10,1,fear,0.015868673050615678
8,10,2,caring,0.014285714285714346
8,10,3,annoyance,0.007782101167315203
8,11,1,embarrassment,0.07
8,11,2,fear,0.04140669313669887
8,11,3,confusion,0.03640675129027754
9,0,1,embarrassment,0.07
9,0,2,fear,0.04140669313669887
9,0,3,sadness,0.03982395878059253
9,1,1,confusion,0.03801305970149249
9,1,2,annoyance,0.012146181429770364
9,1,3,sadness,0.006163828061638288
9,2,1,confusion,0.044127190136275085
9,2,2,realization,0.04272363150867822
9,2,3,disappointment,0.019972640218878235
9,3,1,realization,0.028833551769331556
9,3,2,fear,0.015868673050615678
9,3,3,sadness,0.014598540145985384
9,4,1,realization,0.028833551769331556
9,4,2,annoyance,0.01485393119634365
9,4,3,surprise,0.010822510822510845
9,5,1,embarrassment,0.07
9,5,2,annoyance,0.06961912911506857
9,5,3,disappointment,0.05541200114843525
9,6,1,amusement,0.026201091504002627
9,6,2,surprise,0.010822510822510845
9,6,3,caring,0.007627118644067843
9,7,1,disgust,0.040040040040040026
9,7,2,fear,0.032115171650055396
9,7,3,joy,0.02972399150743099
9,8,1,embarrassment,0.14608695652173914
9,8,2,realization,0.04497354497354497
9,8,3,annoyance,0.025659056459300222
9,9,1,fear,0.032115171650055396
9,9,2,surprise,0.010822510822510845
9,9,3,admiration,0.006183216571309047
9,10,1,realization,0.028833551769331556
9,10,2,sadness,0.004231460911879759
9,10,3,joy,0.004016064257028051
9,11,1,disappointment,0.019972640218878235
9,11,2,approval,0.01336789830402596
9,11,3,curiosity,0.011769191662430067
10,0,1,annoyance,0.09001732988915412
10,0,2,embarrassment,0.07
10,0,3,realization,0.04043126684636117
10,1,1,embarrassment,0.32
10,1,2,disappointment,0.046511627906976716
10,1,3,annoyance,0.04650356810913847
10,2,1,joy,0.016064257028112428
10,2,2,fear,0.015868673050615678
10,2,3,disgust,0.014698909435751473
10,3,1,realization,0.04497354497354497
10,3,2,surprise,0.010822510822510845
10,3,3,disgust,0.009885992186877135
10,4,1,embarrassment,0.32
10,4,2,disappointment,0.08010335917312661
10,4,3,sadness,0.023941605839415958
10,5,1,fear,0.032115171650055396
10,5,2,realization,0.026455026455026454
10,5,3,caring,0.02457627118644068
10,6,1,fear,0.015868673050615678
10,6,2,curiosity,0.011769191662430067
10,6,3,optimism,0.007058823529411784
10,7,1,joy,0.038461538461538436
10,7,2,approval,0.02115667718191383
10,7,3,sadness,0.01872421453506823
10,8,1,fear,0.048753152143457545
10,8,2,annoyance,0.032007028994602726
10,8,3,realization,0.028833551769331556
10,9,1,annoyance,0.022790439132851614
10,9,2,disappointment,0.01661129568106312
10,9,3,realization,0.012987012987012991
10,10,1,embarrassment,0.07
10,10,2,annoyance,0.016579259008628
10,10,3,realization,0.012987012987012991
10,11,1,caring,0.019026548672566368
10,11,2,anger,0.005877167205406986
10,11,3,admiration,0.004437422012861902
11,0,1,fear,0.04356785398881369
11,0,2,disgust,0.03932778932778924
11,0,3,caring,0.02457627118644068
11,1,1,disappointment,0.04350205198358409
11,1,2,realization,0.028833551769331556
11,1,3,annoyance,0.016579259008628
11,2,1,embarrassment,0.32
11,2,2,annoyance,0.06293211563816448
11,2,3,disgust,0.03025667176610569
11,3,1,embarrassment,0.07
11,3,2,annoyance,0.048136061252667284
11,3,3,realization,0.04272363150867822
11,4,1,embarrassment,0.07
11,4,2,confusion,0.034199083323539714
11,4,3,disappointment,0.034032898468519535
11,5,1,caring,0.020085470085470125
11,5,2,fear,0.015868673050615678
11,5,3,approval,0.01519176490121199
11,6,1,realization,0.06349206349206349
11,6,2,fear,0.04140669313669887
11,6,3,sadness,0.041305946924687365
11,7,1,disappointment,0.034032898468519535
11,7,2,approval,0.01996855837003264
11,7,3,sadness,0.012513034410844615
11,8,1,embarrassment,0.32
11,8,2,annoyance,0.07479283004737641
11,8,3,fear,0.04140669313669887
11,9,1,embarrassment,0.2290909090909091
11,9,2,annoyance,0.05952513301040263
11,9,3,fear,0.015868673050615678
11,10,1,fear,0.048753152143457545
11,10,2,realization,0.04272363150867822
11,10,3,joy,0.03440860215053765
11,11,1,embarrassment,0.2290909090909091
11,11,2,realization,0.05929919137466305
11,11,3,fear,0.048753152143457545
