layer,mean_abs_importance,max_abs_importance,mean_head_importance,max_head_importance,mean_selectivity,n_positive_heads,n_negative_heads
0,0.006725005161861102,0.12444444444444441,0.15467511872280537,0.28573597998201744,0.6023018103021476,5,7
1,0.004742365330175221,0.06461538461538463,0.10907440259403008,0.22987491676234467,0.6509781103239775,3,9
2,0.005291969169645279,0.07,0.12171529090184142,0.2256632266631654,0.5922830487691034,6,6
3,0.005845845345543031,0.06461538461538463,0.1344544429474897,0.3072401714365745,0.6164242969383197,4,8
4,0.006281104119018853,0.07,0.1444653947374336,0.2752464389115316,0.6417758402638656,4,8
5,0.006398020932428713,0.06461538461538463,0.1471544814458604,0.2017590130004756,0.6246945933773296,4,8
6,0.0067079739782261285,0.07,0.15428340149920095,0.30036641720343066,0.5795111842039211,6,6
7,0.007053862809446348,0.06461538461538463,0.16223884461726604,0.2607067205656094,0.650038441933866,2,10
8,0.010678781198503693,0.2290909090909091,0.245611967565585,0.5255063248216432,0.6159744165070159,6,6
9,0.010544034859627542,0.14608695652173914,0.2425128017714335,0.43436410230957245,0.6134569976125714,7,5
10,0.01339272556459099,0.32,0.30803268798559275,0.6830701131648113,0.6242138251400795,7,5
11,0.016551777535621655,0.32,0.38069088331929796,0.6024491145317138,0.6372309186019665,11,1
