emotion,rank,layer,head,f1_drop
admiration,1,8,9,0.025073193271900274
admiration,2,6,5,0.010176346039723727
admiration,3,0,2,0.008580464443842084
admiration,4,8,10,0.007318005972081321
admiration,5,11,1,0.007170068224285564
amusement,1,9,6,0.026201091504002627
amusement,2,8,6,0.020352457263613344
amusement,3,9,0,0.015184302218962054
amusement,4,8,8,0.014808362369338024
amusement,5,10,1,0.013541898336916547
anger,1,8,8,0.03089280197713934
anger,2,10,1,0.021177879218738316
anger,3,7,5,0.014927635068576195
anger,4,8,1,0.012048192771084376
anger,5,10,7,0.012048192771084376
annoyance,1,10,0,0.09001732988915412
annoyance,2,11,8,0.07479283004737641
annoyance,3,9,5,0.06961912911506857
annoyance,4,11,2,0.06293211563816448
annoyance,5,11,9,0.05952513301040263
approval,1,8,11,0.021199549636361836
approval,2,10,7,0.02115667718191383
approval,3,11,7,0.01996855837003264
approval,4,11,6,0.01943624707438696
approval,5,3,8,0.018302577075417492
caring,1,11,0,0.02457627118644068
caring,2,10,5,0.02457627118644068
caring,3,8,9,0.020085470085470125
caring,4,11,5,0.020085470085470125
caring,5,7,5,0.020085470085470125
confusion,1,9,2,0.044127190136275085
confusion,2,9,1,0.03801305970149249
confusion,3,8,11,0.03640675129027754
confusion,4,11,4,0.034199083323539714
confusion,5,9,5,0.034199083323539714
curiosity,1,8,7,0.018494947658258987
curiosity,2,6,5,0.014234875444839812
curiosity,3,9,2,0.012897011211302267
curiosity,4,8,4,0.01201933062852234
curiosity,5,11,11,0.011769191662430067
desire,1,7,5,0.01726726726726724
desire,2,10,4,0.008751902587519012
desire,3,11,8,0.0
desire,4,11,9,0.0
desire,5,10,11,0.0
disappointment,1,10,4,0.08010335917312661
disappointment,2,9,5,0.05541200114843525
disappointment,3,10,1,0.046511627906976716
disappointment,4,11,11,0.04591532498509243
disappointment,5,11,1,0.04350205198358409
disapproval,1,4,8,0.007246376811594235
disapproval,2,0,7,0.00175187131708876
disapproval,3,6,0,0.00175187131708876
disapproval,4,2,9,0.00175187131708876
disapproval,5,5,8,0.0
disgust,1,9,7,0.040040040040040026
disgust,2,11,0,0.03932778932778924
disgust,3,8,8,0.03519407257725016
disgust,4,8,11,0.03519407257725016
disgust,5,11,8,0.03428671389836435
embarrassment,1,11,8,0.32
embarrassment,2,11,2,0.32
embarrassment,3,10,1,0.32
embarrassment,4,10,4,0.32
embarrassment,5,11,9,0.2290909090909091
excitement,1,0,5,0.01097560975609757
excitement,2,11,11,0.008441558441558472
excitement,3,0,0,0.005555555555555591
excitement,4,1,0,0.005555555555555591
excitement,5,6,3,0.005555555555555591
fear,1,0,8,0.05592469545957923
fear,2,11,11,0.048753152143457545
fear,3,10,8,0.048753152143457545
fear,4,11,10,0.048753152143457545
fear,5,3,0,0.048753152143457545
gratitude,1,1,4,0.005390835579514919
gratitude,2,10,7,0.0032667291691081957
gratitude,3,10,6,0.0032667291691081957
gratitude,4,11,1,0.0028848255263349554
gratitude,5,5,7,0.0028848255263349554
joy,1,10,7,0.038461538461538436
joy,2,11,10,0.03440860215053765
joy,3,9,7,0.02972399150743099
joy,4,6,10,0.029166666666666674
joy,5,9,0,0.02862985685071573
love,1,7,5,0.02071758169319149
love,2,10,5,0.013937282229965153
love,3,10,10,0.00836236933797907
love,4,8,5,0.00836236933797907
love,5,0,2,0.00836236933797907
optimism,1,7,5,0.02913580246913583
optimism,2,9,5,0.017627118644067852
optimism,3,3,5,0.017627118644067852
optimism,4,2,9,0.014545454545454639
optimism,5,11,10,0.012380952380952381
realization,1,11,6,0.06349206349206349
realization,2,11,11,0.05929919137466305
realization,3,9,8,0.04497354497354497
realization,4,10,3,0.04497354497354497
realization,5,9,5,0.04497354497354497
remorse,1,8,11,0.03167420814479638
remorse,2,11,11,0.022058823529411797
remorse,3,11,0,0.022058823529411797
remorse,4,9,8,0.02019315188762072
remorse,5,9,2,0.012138188608776912
sadness,1,11,6,0.041305946924687365
sadness,2,9,0,0.03982395878059253
sadness,3,10,1,0.02755062839580702
sadness,4,11,11,0.02580207095569509
sadness,5,8,11,0.025118076427651292
surprise,1,0,6,0.025974025974025983
surprise,2,11,10,0.021810250817884347
surprise,3,10,5,0.021810250817884347
surprise,4,11,4,0.021810250817884347
surprise,5,10,0,0.021810250817884347
