emotion,emotion_idx,rank,layer,neuron,selectivity,abs_selectivity,direction
admiration,0,1,11,944,3.0200111200860618,3.0200111200860618,excitatory
admiration,0,2,11,12,2.864516533600207,2.864516533600207,excitatory
admiration,0,3,11,1320,2.753204881457561,2.753204881457561,excitatory
admiration,0,4,11,501,2.739998242310593,2.739998242310593,excitatory
admiration,0,5,11,1880,2.7179344903132487,2.7179344903132487,excitatory
admiration,0,6,11,994,2.716607536124783,2.716607536124783,excitatory
admiration,0,7,11,1347,2.626771776510538,2.626771776510538,excitatory
admiration,0,8,10,2442,2.587525471185273,2.587525471185273,excitatory
admiration,0,9,11,478,2.5370002266288076,2.5370002266288076,excitatory
admiration,0,10,9,2962,2.5238911022601838,2.5238911022601838,excitatory
amusement,1,1,11,608,5.896129575618819,5.896129575618819,excitatory
amusement,1,2,11,1235,5.388711197270407,5.388711197270407,excitatory
amusement,1,3,11,2364,5.251479973854663,5.251479973854663,excitatory
amusement,1,4,9,571,5.228362033237836,5.228362033237836,excitatory
amusement,1,5,10,2660,5.111650326588346,5.111650326588346,excitatory
amusement,1,6,10,1243,5.0277682165644695,5.0277682165644695,excitatory
amusement,1,7,9,1177,5.016726095049501,5.016726095049501,excitatory
amusement,1,8,11,1094,4.799150380169301,4.799150380169301,excitatory
amusement,1,9,8,96,4.777750320586892,4.777750320586892,excitatory
amusement,1,10,9,840,4.65754791397291,4.65754791397291,excitatory
anger,2,1,8,2434,3.06133985276182,3.06133985276182,excitatory
anger,2,2,9,47,2.9700648641586236,2.9700648641586236,excitatory
anger,2,3,9,664,2.8062797474390995,2.8062797474390995,excitatory
anger,2,4,11,25,2.7590918284290633,2.7590918284290633,excitatory
anger,2,5,11,150,2.6815491577129484,2.6815491577129484,excitatory
anger,2,6,9,1806,2.6797796770551985,2.6797796770551985,excitatory
anger,2,7,8,2581,2.675806824761145,2.675806824761145,excitatory
anger,2,8,10,2767,2.6734077374821212,2.6734077374821212,excitatory
anger,2,9,10,883,2.647520267943821,2.647520267943821,excitatory
anger,2,10,10,2967,2.6468996137424226,2.6468996137424226,excitatory
annoyance,3,1,9,2917,1.7110261826244744,1.7110261826244744,excitatory
annoyance,3,2,9,2854,1.639343501319259,1.639343501319259,excitatory
annoyance,3,3,9,892,1.571823348706985,1.571823348706985,excitatory
annoyance,3,4,9,1220,1.4910433782381922,1.4910433782381922,excitatory
annoyance,3,5,9,1360,1.4877880452917374,1.4877880452917374,excitatory
annoyance,3,6,11,2206,1.4577108446517826,1.4577108446517826,excitatory
annoyance,3,7,10,2221,1.4228439465105518,1.4228439465105518,excitatory
annoyance,3,8,10,9,1.4019999453612373,1.4019999453612373,excitatory
annoyance,3,9,11,551,1.2858214624612243,1.2858214624612243,excitatory
annoyance,3,10,9,911,1.2545884190850836,1.2545884190850836,excitatory
approval,4,1,11,803,2.1782978050941546,2.1782978050941546,excitatory
approval,4,2,11,858,2.0325681123487955,2.0325681123487955,excitatory
approval,4,3,11,2192,2.026234910072938,2.026234910072938,excitatory
approval,4,4,11,1051,2.005459860099899,2.005459860099899,excitatory
approval,4,5,11,2092,2.0053917294812416,2.0053917294812416,excitatory
approval,4,6,11,2837,1.9415065502819007,1.9415065502819007,excitatory
