emotion,total_significant,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
annoyance,0,0,0,0,0,0,0,0,0,0,0,0,0
disappointment,0,0,0,0,0,0,0,0,0,0,0,0,0
realization,0,0,0,0,0,0,0,0,0,0,0,0,0
approval,5,0,0,0,0,0,0,0,0,0,0,0,5
disapproval,15,0,0,0,0,0,0,0,0,1,3,2,9
anger,43,0,0,0,0,0,0,0,0,6,7,11,19
embarrassment,44,0,0,0,0,0,0,0,0,0,7,20,17
admiration,53,0,0,0,0,0,1,0,3,9,9,7,24
caring,60,0,0,0,0,0,0,0,0,2,16,23,19
joy,87,0,0,0,0,0,0,0,0,4,14,30,39
disgust,95,0,0,0,0,0,0,1,0,16,21,12,45
optimism,99,0,0,0,0,0,0,0,6,18,14,30,31
excitement,112,0,0,0,0,0,0,0,0,1,18,30,63
confusion,113,0,0,0,0,0,0,0,0,5,53,31,24
curiosity,121,2,0,0,1,2,2,2,3,21,34,17,37
sadness,123,0,0,0,0,0,0,0,1,6,24,36,56
desire,155,0,0,0,0,0,0,0,2,9,29,39,76
surprise,158,0,0,0,0,0,0,0,1,7,39,53,58
fear,306,0,0,0,0,0,0,0,4,32,70,42,158
amusement,394,0,0,0,0,0,1,0,19,88,49,126,111
love,399,2,1,1,0,9,5,11,37,91,49,39,154
remorse,442,0,0,0,0,1,0,0,19,70,45,185,122
gratitude,818,1,0,0,3,116,132,102,90,87,76,86,125
