strategy,type,params,compression_ratio,macro_f1,micro_f1,f1_retention
uniform_r32,uniform,29873687,0.2728192412402248,0.0,0.0,0.0
uniform_r64,uniform,35182103,0.32129795849087645,0.0,0.0,0.0
uniform_r128,uniform,45798935,0.4182553929921798,0.0,0.0,0.0
greedy_50,greedy,63886871,0.5834421332536596,0.028013846398823514,0.05630775843541801,0.04853414172396726
greedy_60,greedy,65459735,0.597806197624223,0.03207165809018749,0.06645230439442658,0.055564322617873405
uniform_r256,uniform,67032599,0.6121702619947865,0.02481252711178224,0.05968858131487889,0.04298783859340336
informed_aggressive,informed,67032599,0.6121702619947865,0.02481252711178224,0.05968858131487889,0.04298783859340336
greedy_70,greedy,73324055,0.6696265194770403,0.18055168748989409,0.32279871556532025,0.3128067836305399
adaptive_e80,adaptive,78954263,0.7210439784128806,0.14327282401729496,0.2542796691671475,0.2482209492781556
greedy_75,greedy,81188375,0.7414468413298577,0.3330932524878567,0.45588012713788406,0.5770858772261198
greedy_80,greedy,87479831,0.7989030988121115,0.5016324254484842,0.5840370471261237,0.8690809138968019
uniform_r384,uniform,88266263,0.8060851309973933,0.25079092245323864,0.4097411444141689,0.4344966414159087
greedy_85,greedy,89052695,0.813267163182675,0.5047863984753967,0.5804778156996587,0.8745451893733809
greedy_90,greedy,94557719,0.8635413884796471,0.5384629102363236,0.5990312868176463,0.9328899297315746
adaptive_e90,adaptive,97691159,0.892157297967879,0.3573168453975493,0.4868651488616462,0.6190533841012944
greedy_95,greedy,103994903,0.9497257747030279,0.5746364193404905,0.634470647265429,0.995560731610055
uniform_r512,uniform,109499927,1.0,0.46433391613905567,0.567313177410154,0.8044610430249268
informed_moderate,informed,109499927,1.0,0.46433391613905567,0.567313177410154,0.8044610430249268
adaptive_e95,adaptive,111856919,1.0215250554459274,0.4907122404745095,0.5826771653543307,0.8501616338510212
adaptive_e99,adaptive,131587607,1.201714107078811,0.558029000318964,0.621492305702832,0.9667882875484667
informed_light,informed,140686871,1.2848124638475786,0.5609378366599692,0.6213467233165959,0.9718278623792941
